abbrev:keyword,name:text,                                   scalerank:integer,type:keyword,     location:geo_point,                         country:keyword,                city:keyword,                   city_location:geo_point
TUK,           Turbat Int'l,                                9,                mid,              POINT(63.0279333519181 25.988794590011),    Pakistan,                       Turbat,                         POINT(63.0544 26.0031)
UET,           Quetta Int'l,                                9,                mid,              POINT(66.9487311480949 30.249043186181),    Pakistan,                       Quetta,                         POINT(67.0 30.1833)
ZAH,           Zahedan Int'l,                               9,                mid,              POINT(60.900708564915 29.4752941956573),    Iran,                           Zāhedān,                        POINT(60.8628 29.4964)
MLG,           Abdul Rachman Saleh,                         9,                [mid,military],   POINT(112.711418617258 -7.92998002840567),  Indonesia,                      Malang,                         POINT(112.62 -7.98)
BAX,           Barnaul,                                     9,                mid,              POINT(83.5504532124038 53.3633850813046),   Russia,                         Barnaul,                        POINT(83.75 53.3333)
VIAX,          Adampur,                                     9,                [military,mid],   POINT(75.7584828456005 31.4329422397715),   India,                          Jalandhar,                      POINT(75.4432 31.2569)
VIBY,          Bareilly,                                    9,                military,         POINT(79.452002687657 28.4218087161144),    India,                          Bareilly,                       POINT(79.415 28.364)
OPQS,          Dhamial,                                     9,                small,            POINT(73.0320498392002 33.5614146278861),   Pakistan,                       Rawalpindi,                     POINT(73.0333 33.6)
CJJ,           Cheongju Int'l,                              9,                major,            POINT(127.495916124681 36.7220227766673),   South Korea,                    Cheongju,                       POINT(127.4833 36.6333)
KWJ,           Gwangju,                                     9,                [mid,military],   POINT(126.810839481226 35.1400051390198),   South Korea,                    Naju,                           POINT(126.7167 35.0333)
TAE,           Daegu Int'l,                                 9,                mid,              POINT(128.637537699933 35.8999277969087),   South Korea,                    Daegu,                          POINT(128.6017 35.8717)
USN,           Ulsan,                                       9,                mid,              POINT(129.355731047528 35.5928957527107),   South Korea,                    Ulsan,                          POINT(129.3167 35.55)
WIIT,          Radin Inten II,                              9,                mid,              POINT(105.176060419161 -5.242566777132),    Indonesia,                      Bandar Lampung,                 POINT(105.2667 -5.45)
IXD,           Allahabad,                                   9,                military,         POINT(81.7317271462187 25.443522027821),    India,                          Prayagraj,                      POINT(81.8464 25.4358)
CEK,           Chelyabinsk,                                 9,                mid,              POINT(61.5122589740201 55.2977919496055),   Russia,                         Chelyabinsk,                    POINT(61.4 55.15)
TNN,           Tainan,                                      8,                [military,mid],   POINT(120.209733318093 22.950667918347),    Taiwan,                         Tainan,                         POINT(120.1833 22.9833)
RMQ,           Taichung,                                    8,                [military,mid],   POINT(120.630703547584 24.2666555567115),   Taiwan,                         Taichung,                       POINT(120.6794 24.1439)
RTM,           Rotterdam The Hague,                         8,                mid,              POINT(4.43384434962876 51.9491301899382),   Netherlands,                    The Hague,                      POINT(4.31 52.08)
VOZ,           Voronezh-Chertovitskoye,                     8,                mid,              POINT(39.2254496447973 51.8126171268344),   Russia,                         Voronezh,                       POINT(39.2106 51.6717)
LPL,           Liverpool John Lennon,                       8,                major,            POINT(-2.85862065784938 53.3363751054422),  United Kingdom,                 Liverpool,                      POINT(-2.9919 53.4075)
VTZ,           Vishakapatnam,                               8,                mid,              POINT(83.2235216387465 17.7279577384364),   India,                          Vishākhapatnam,                 POINT(83.2978 17.7042)
UPG,           Sultan Hasanuddin Int'l,                     8,                major,            POINT(119.545691342151 -5.05893689455779),  Indonesia,                      Makassar,                       POINT(119.4362 -5.1619)
VAV,           Vava'u Int'l,                                8,                mid,              POINT(-173.968093944159 -18.5860058550654), Tonga,                          Neiafu,                         POINT(-173.9831 -18.6508)
NCL,           Newcastle Int'l,                             8,                major,            POINT(-1.71034578407216 55.037084860802),   United Kingdom,                 Gateshead,                      POINT(-1.6 54.95)
LCE,           Goloson Int'l,                               8,                mid,              POINT(-86.8514685020011 15.7451596659126),  Honduras,                       La Ceiba,                       POINT(-86.7931 15.7792)
MED,           Madinah Int'l,                               8,                major,            POINT(39.6991359560417 24.5442339605661),   Saudi Arabia,                   Badr Ḩunayn,                    POINT(38.7906 23.78)
YMX,           Mirabel Int'l,                               8,                mid,              POINT(-74.0287382984814 45.6832250979267),  Canada,                         Montréal,                       POINT(-73.5617 45.5089)
PLQ,           Palanga Int'l,                               8,                mid,              POINT(21.0974463986251 55.9713426235358),   Lithuania,                      Klaipėda,                       POINT(21.1667 55.75)
JAI,           Jaipur Int'l,                                8,                mid,              POINT(75.8010104192668 26.8211798100605),   India,                          Nawai,                          POINT(75.924 26.3824)
IXW,           Sonari,                                      8,                mid,              POINT(86.1724662363776 22.8154145110242),   India,                          Jamshedpur,                     POINT(86.1842 22.7925)
YEI,           Yenisehir,                                   8,                mid,              POINT(29.54492 40.2555395007473),           Turkey,                         İnegöl,                         POINT(29.5097 40.0806)
ADA,           Şakirpaşa,                                   8,                major,            POINT(35.2969614268338 36.9852090641795),   Turkey,                         Adana,                          POINT(35.3213 37.0)
ADQ,           Kodiak,                                      8,                mid,              POINT(-152.485638515235 57.7485921070483),  ,                               ,
AMA,           Amarillo Int'l,                              8,                major,            POINT(-101.705352772697 35.2184031919398),  United States,                  Amarillo,                       POINT(-101.8316 35.1984)
ASP,           Alice Springs,                               8,                mid,              POINT(133.902918 -23.801968),               Australia,                      Alice Springs,                  POINT(133.8667 -23.7)
ATQ,           Raja Sansi Int'l,                            8,                [mid,military],   POINT(74.8071559719824 31.7068220258888),   Pakistan,                       Lahore,                         POINT(74.3436 31.5497)
BBI,           Biju Patnaik,                                8,                mid,              POINT(85.8168899544429 20.2526659754734),   India,                          Bhubaneshwar,                   POINT(85.84 20.27)
BET,           Bethel,                                      8,                mid,              POINT(-161.83898695944 60.7787379834088),   ,                               ,
BGA,           Palonegro,                                   8,                mid,              POINT(-73.1809207725361 7.12770915402685),  Colombia,                       Bucaramanga,                    POINT(-73.0 7.1333)
BHM,           Birmingham Int'l,                            8,                major,            POINT(-86.7523773615462 33.5618672828058),  United States,                  Hoover,                         POINT(-86.8068 33.3763)
BHQ,           Broken Hill,                                 8,                mid,              POINT(141.470407303097 -31.998996737463),   Australia,                      Broken Hill,                    POINT(141.4667 -31.95)
BIL,           Logan Int'l,                                 8,                major,            POINT(-108.536929388125 45.8036855715278),  United States,                  Billings,                       POINT(-108.5526 45.7891)
BIS,           Bismarck Muni.,                              8,                mid,              POINT(-100.757471303717 46.7751066661614),  United States,                  Bismarck,                       POINT(-100.7694 46.8143)
BJX,           Del Bajio Int'l,                             8,                mid,              POINT(-101.478753382467 20.9858871211938),  Mexico,                         León de los Aldama,             POINT(-101.6833 21.1167)
BNI,           Benin,                                       8,                mid,              POINT(5.603682560067 6.31716689207818),     Nigeria,                        Benin City,                     POINT(5.6222 6.3333)
BOJ,           Bourgas,                                     8,                major,            POINT(27.5164093662953 42.5670835487702),   Bulgaria,                       Burgas,                         POINT(27.4702 42.503)
BRE,           Bremen,                                      8,                major,            POINT(8.7858617703132 53.052287104156),     Germany,                        Bremen,                         POINT(8.8 53.0833)
BRM,           Jacinto Lara Int'l,                          8,                mid,              POINT(-69.356102 10.0453),                  Venezuela,                      Barquisimeto,                   POINT(-69.3467 10.0678)
BRO,           Brownsville-South Padre Island Int'l,        8,                mid,              POINT(-97.431765340232 25.9062743545347),   Mexico,                         Heroica Matamoros,              POINT(-97.5042 25.8797)
BRS,           Bristol Int'l,                               8,                major,            POINT(-2.71086469134308 51.3862934189148),  United Kingdom,                 Caerdydd,                       POINT(-3.1792 51.4817)
BTR,           Baton Rouge Metro,                           8,                major,            POINT(-91.1567544048105 30.5326138040586),  United States,                  Baton Rouge,                    POINT(-91.1311 30.442)
BTS,           Bratislava-M.R. Štefánik,                    8,                major,            POINT(17.1999850022208 48.1698379062535),   Slovakia,                       Bratislava,                     POINT(17.1097 48.1439)
BTV,           Burlington Int'l,                            8,                mid,              POINT(-73.1550787790668 44.4692066040732),  United States,                  South Burlington,               POINT(-73.2202 44.4622)
CAE,           Columbia Metro,                              8,                major,            POINT(-81.1093352429377 33.9342054584275),  United States,                  West Columbia,                  POINT(-81.0936 33.9932)
CCJ,           Calicut Int'l,                               8,                major,            POINT(75.950993063051 11.1395520526064),    India,                          Calicut,                        POINT(75.77 11.25)
CCK,           Cocos (Keeling) Islands,                     8,                mid,              POINT(96.8287472144207 -12.1851585953293),  ,                               ,
CFU,           Corfu Int'l (Ioannis Kapodistrias),          8,                mid,              POINT(19.9147561641662 39.6067554505259),   Greece,                         Kérkyra,                        POINT(19.9214 39.6239)
CGQ,           Changchun Longjia Int'l,                     8,                major,            POINT(125.690456812998 43.993011479577),    China,                          Changchun,                      POINT(125.2 43.9)
CHS,           Charleston Int'l,                            8,                [major,military], POINT(-80.0369337438262 32.8845301562965),  United States,                  North Charleston,               POINT(-80.0722 32.9067)
CJB,           Coimbatore,                                  8,                mid,              POINT(77.038893772262 11.0301415125983),    India,                          Coimbatore,                     POINT(76.9558 11.0168)
CLJ,           Someseni,                                    8,                mid,              POINT(23.6869812680486 46.7826626340243),   Romania,                        Cluj-Napoca,                    POINT(23.5833 46.7667)
CMW,           Ignacio Agramonte,                           8,                mid,              POINT(-77.8451039935167 21.4247037281961),  Cuba,                           Camagüey,                       POINT(-77.9075 21.3839)
CPR,           Casper/Natrona County Int'l,                 8,                major,            POINT(-106.464444809692 42.8971900483006),  United States,                  Casper,                         POINT(-106.3208 42.842)
CRK,           Clark Int'l,                                 8,                major,            POINT(120.550770223914 15.1876422423888),   Philippines,                    Angeles City,                   POINT(120.5847 15.1472)
CRW,           Yeager,                                      8,                [major,military], POINT(-81.5964164667526 38.3705914372865),  United States,                  South Charleston,               POINT(-81.7155 38.3426)
CTA,           Catania Fontanarossa,                        8,                major,            POINT(15.0674605007053 37.470072800341),    Italy,                          Catania,                        POINT(15.0903 37.5)
CTM,           Chetumal Int'l,                              8,                mid,              POINT(-88.3242600415365 18.506434233376),   Mexico,                         Chetumal,                       POINT(-88.3053 18.5036)
CWL,           Cardiff,                                     8,                major,            POINT(-3.33956876429118 51.3986220911017),  United Kingdom,                 Caerdydd,                       POINT(-3.1792 51.4817)
CYB,           Gerrard Smith,                               8,                mid,              POINT(-79.879461638003 19.6898653962844),   Cuba,                           Ciego de Ávila,                 POINT(-78.7631 21.8481)
CZM,           Cozumel Int'l,                               8,                mid,              POINT(-86.9304064070436 20.5115543771647),  Mexico,                         Cozumel,                        POINT(-86.9493 20.5104)
DAY,           James M. Cox Dayton Int'l,                   8,                major,            POINT(-84.2204594238102 39.8990402865362),  United States,                  Vandalia,                       POINT(-84.193 39.8791)
DBO,           Dubbo,                                       8,                mid,              POINT(148.569717 -32.218681),               Australia,                      Dubbo,                          POINT(148.6011 -32.2569)
DCA,           Washington Nat'l,                            8,                major,            POINT(-77.0433373925631 38.8537162012123),  United States,                  Waldorf,                        POINT(-76.9194 38.6085)
DGO,           Durango Int'l,                               8,                mid,              POINT(-104.533846024964 24.1261948326182),  Mexico,                         Colonia General Felipe Ángeles, POINT(-104.6 23.9167)
DNK,           Voloskoye,                                   8,                mid,              POINT(35.0939060224975 48.3675718021117),   Ukraine,                        Dnipro,                         POINT(35.04 48.4675)
DOK,           Donetsk,                                     8,                major,            POINT(37.7448085572103 48.0691671285582),   Ukraine,                        Makiivka,                       POINT(37.9611 48.0556)
DZO,           Santa Bernardina Int'l,                      8,                mid,              POINT(-56.4992636213744 -33.3591084475501), Uruguay,                        Durazno,                        POINT(-56.5167 -33.3667)
EDI,           Edinburgh Int'l,                             8,                major,            POINT(-3.36428468513554 55.9485540113639),  United Kingdom,                 Dunfermline,                    POINT(-3.4393 56.0719)
EIS,           Terrance B. Lettsome Int'l,                  8,                mid,              POINT(-64.5371514365794 18.4443618557983),  British Virgin Islands,         Road Town,                      POINT(-64.6167 18.4167)
EKO,           Elko Reg.,                                   8,                mid,              POINT(-115.786479232249 40.8276058815225),  United States,                  Elko,                           POINT(-115.7678 40.8381)
ESE,           Ensenada,                                    8,                mid,              POINT(-116.595724400418 31.7977139760569),  Mexico,                         Rodolfo Sánchez Taboada,        POINT(-116.5911 31.7958)
FAE,           Vágar,                                       8,                mid,              POINT(-7.2708 62.0625),                     Faroe Islands,                  Tórshavn,                       POINT(-6.7833 62.0)
FAR,           Hector Int'l,                                8,                [mid,military],   POINT(-96.8254561269675 46.9198178811323),  United States,                  Fargo,                          POINT(-96.8292 46.8651)
FAT,           Fresno Yosemite Int'l,                       8,                mid,              POINT(-119.720001323576 36.7698128373959),  United States,                  Hanford,                        POINT(-119.6549 36.3274)
FLG,           Flagstaff Pulliam,                           8,                mid,              POINT(-111.674656171675 35.1389116757976),  United States,                  Flagstaff,                      POINT(-111.6194 35.1872)
FRS,           Mundo Maya Int'l,                            8,                mid,              POINT(-89.8778404226508 16.9149741642226),  Guatemala,                      El Chal,                        POINT(-89.65 16.6333)
FSD,           Sioux Falls Reg.,                            8,                mid,              POINT(-96.7313831017541 43.5801934972763),  United States,                  Sioux Falls,                    POINT(-96.7311 43.5396)
GEG,           Spokane Int'l,                               8,                major,            POINT(-117.536836628585 47.6254781278368),  United States,                  Spokane,                        POINT(-117.433 47.6671)
GGT,           Exuma Int'l,                                 8,                mid,              POINT(-75.872613085304 23.5638829069259),   The Bahamas,                    Nassau,                         POINT(-77.3386 25.0781)
GIB,           Gibraltar,                                   8,                mid,              POINT(-5.34677180033388 36.1512747504173),  Gibraltar,                      Gibraltar,                      POINT(-5.35 36.1333)
GRR,           Gerald R. Ford Int'l,                        8,                mid,              POINT(-85.529573207274 42.8847776020908),   United States,                  Kentwood,                       POINT(-85.5926 42.8852)
GSO,           Triad Int'l,                                 8,                major,            POINT(-79.9364867577484 36.1053781998932),  United States,                  Greensboro,                     POINT(-79.8271 36.0956)
GTF,           Great Falls Int'l,                           8,                mid,              POINT(-111.35668472784 47.482270729263),    United States,                  Bozeman,                        POINT(-111.0558 45.6833)
GZT,           Gaziantep Oğuzeli Int'l,                     8,                major,            POINT(37.47380325219 36.9453633446875),     Turkey,                         Gaziantep,                      POINT(37.3792 37.0628)
HBX,           Hubli,                                       8,                mid,              POINT(75.0863155680281 15.3591833386229),   India,                          Saundatti,                      POINT(75.1167 15.7833)
HDY,           Hat Yai Int'l,                               8,                mid,              POINT(100.393751274671 6.93634231940664),   Thailand,                       Hat Yai,                        POINT(100.4667 7.0167)
HFE,           Hefei-Luogang,                               8,                mid,              POINT(117.304197015888 31.7798576795778),   China,                          Hefei,                          POINT(117.2808 31.8639)
HRG,           Hurghada Int'l,                              8,                major,            POINT(33.8071606414118 27.1804260918186),   Egypt,                          Al Ghardaqah,                   POINT(33.8117 27.2578)
HRK,           Kharkov Int'l,                               8,                major,            POINT(36.2822010773503 49.9215360631551),   Ukraine,                        Kharkiv,                        POINT(36.2311 49.9925)
HSV,           Huntsville Int'l,                            8,                major,            POINT(-86.7749430563373 34.6483344609319),  United States,                  Hartselle,                      POINT(-86.9396 34.4391)
IBA,           Ibadan,                                      8,                mid,              POINT(3.9738133433229 7.36034397269393),    Nigeria,                        Ibadan,                         POINT(3.9167 7.3964)
ICT,           Kansas City Int'l,                           8,                major,            POINT(-97.4287387683976 37.6529279603903),  United States,                  Wichita,                        POINT(-97.3443 37.6895)
ILM,           Wilmington Int'l,                            8,                mid,              POINT(-77.9103756560469 34.2667840671996),  United States,                  Murraysville,                   POINT(-77.8429 34.2919)
ILR,           Ilorin Int'l,                                8,                mid,              POINT(4.49484038819934 8.43537651935241),   Nigeria,                        Ilorin,                         POINT(4.55 8.5)
INL,           Falls Int'l,                                 8,                mid,              POINT(-93.3980027552794 48.5659930848414),  United States,                  Hibbing,                        POINT(-92.9486 47.398)
INV,           Inverness,                                   8,                mid,              POINT(-4.06359175587141 57.5395002923424),  United Kingdom,                 Nairn,                          POINT(-3.869 57.586)
IPL,           Imperial Cty.,                               8,                mid,              POINT(-115.57199556658 32.8339586685524),   Mexico,                         Mexicali,                       POINT(-115.4678 32.6633)
IXJ,           Jammu,                                       8,                mid,              POINT(74.8423077638915 32.6810428886225),   India,                          Jammu,                          POINT(74.87 32.73)
IXM,           Madurai,                                     8,                mid,              POINT(78.0911394937194 9.83718627877566),   India,                          Madurai,                        POINT(78.1198 9.9252)
JDH,           Jodhpur,                                     8,                [major,military], POINT(73.0505491895671 26.2637623458351),   India,                          Jodhpur,                        POINT(73.02 26.28)
JLR,           Jabalpur,                                    8,                mid,              POINT(80.0587438885277 23.1845328746465),   India,                          Jabalpur,                       POINT(79.9333 23.1667)
JRO,           Kilimanjaro Int'l,                           8,                mid,              POINT(37.0651896067748 -3.42444495998178),  Tanzania,                       Arusha,                         POINT(36.6833 -3.3667)
KAD,           Kaduna,                                      8,                mid,              POINT(7.32525347407434 10.6946192862391),   Nigeria,                        Kaduna,                         POINT(7.4333 10.5167)
KGA,           Kananga,                                     8,                mid,              POINT(22.4783332482689 -5.90016656227041),  Congo (Kinshasa),               Kananga,                        POINT(22.4488 -5.897)
KMS,           Kumasi,                                      8,                mid,              POINT(-1.59257526582361 6.71460638750365),  Ghana,                          Kumasi,                         POINT(-1.6167 6.6667)
KNA,           Viña del Mar,                                8,                mid,              POINT(-71.4806025354969 -32.948391765136),  Chile,                          Viña del Mar,                   POINT(-71.5517 -33.0244)
KNU,           Kanpur,                                      8,                mid,              POINT(80.3675338772002 26.4388334467042),   India,                          Cawnpore,                       POINT(80.3319 26.4499)
KOA,           Kona Int'l at Keahole,                       8,                mid,              POINT(-156.040889471058 19.7370991399442),  United States,                  Waimea,                         POINT(-155.6381 20.0124)
KOI,           Kirkwall,                                    8,                mid,              POINT(-2.90137849524508 58.9544288788303),  United Kingdom,                 Kirkwall,                       POINT(-2.96 58.981)
KTU,           Kota,                                        8,                mid,              POINT(75.8504977944552 25.1634187166743),   India,                          Būndi,                          POINT(75.6372 25.4383)
KYA,           Konya,                                       8,                [major,military], POINT(32.5756732669687 37.9839945531695),   Turkey,                         Konya,                          POINT(32.4833 37.8667)
LEX,           Blue Grass,                                  8,                major,            POINT(-84.5982681918786 38.0374273181372),  United States,                  Nicholasville,                  POINT(-84.5668 37.8906)
LIH,           Lihue,                                       8,                mid,              POINT(-159.349084290522 21.9781243162088),  United States,                  Kapaa,                          POINT(-159.3521 22.091)
LIT,           Clinton National,                            8,                major,            POINT(-92.2205881319289 34.7284300415179),  United States,                  Little Rock,                    POINT(-92.3577 34.7256)
LMM,           Los Mochis,                                  8,                mid,              POINT(-109.082694645261 25.688508826099),   Mexico,                         Los Mochis,                     POINT(-108.9937 25.7835)
LOV,           Venustiano Carranza Int'l,                   8,                mid,              POINT(-101.464960031751 26.9553927160699),  Mexico,                         Monclova,                       POINT(-101.4222 26.9103)
LRD,           Laredo Int'l,                                8,                mid,              POINT(-99.4556603976513 27.5436657175825),  Mexico,                         Nuevo Laredo,                   POINT(-99.5069 27.4861)
LSI,           Sumburgh,                                    8,                mid,              POINT(-1.28806068838753 59.8766899598999),  United Kingdom,                 Lerwick,                        POINT(-1.145 60.155)
LTK,           Bassel Al-Assad Int'l,                       8,                major,            POINT(35.9442407096663 35.4073114596744),   Syria,                          Latakia,                        POINT(35.7833 35.5167)
LTN,           London Luton,                                8,                major,            POINT(-0.376227267397439 51.8802952570969), United Kingdom,                 Luton,                          POINT(-0.4147 51.8783)
LYR,           Svalbard Longyear,                           8,                mid,              POINT(15.495229 78.246717),                 Svalbard,                       Longyearbyen,                   POINT(15.6333 78.2167)
MBJ,           Sangster Int'l,                              8,                mid,              POINT(-77.9183907635752 18.5011549298249),  Jamaica,                        Montego Bay,                    POINT(-77.9167 18.4667)
MDL,           Mandalay Int'l,                              8,                mid,              POINT(95.9706535950217 21.7055490680274),   Myanmar,                        Mandalay,                       POINT(96.0844 21.9831)
MDW,           Chicago Midway Int'l,                        8,                major,            POINT(-87.7421266885612 41.7883492597409),  United States,                  Chicago,                        POINT(-87.6866 41.8375)
MEC,           Eloy Alfaro Int'l,                           8,                [mid,military],   POINT(-80.6833845995774 -0.949557002112883),Ecuador,                        Portoviejo,                     POINT(-80.4553 -1.0561)
MGM,           Montgomery Reg.,                             8,                major,            POINT(-86.3903074602686 32.3045879909631),  United States,                  Prattville,                     POINT(-86.4573 32.4597)
MHT,           Manchester-Boston Reg.,                      8,                major,            POINT(-71.4375239091857 42.9279139945886),  United States,                  Nashua,                         POINT(-71.491 42.7491)
DNMA,          Maiduguri Int'l,                             8,                mid,              POINT(13.0851390162471 11.8534713188527),   Nigeria,                        Maiduguri,                      POINT(13.15 11.8333)
MJM,           Mbuji Mayi,                                  8,                mid,              POINT(23.5721091989052 -6.12484541348812),  Congo (Kinshasa),               Mbuji-Mayi,                     POINT(23.6 -6.15)
MOT,           Minot Int'l,                                 8,                mid,              POINT(-101.2913855313 48.2556049212839),    United States,                  Minot,                          POINT(-101.278 48.2375)
MSO,           Missoula Int'l,                              8,                mid,              POINT(-114.083694923651 46.9187604768831),  United States,                  Missoula,                       POINT(-114.0214 46.8751)
MXL,           Gen R.S. Taboada Int'l,                      8,                mid,              POINT(-115.247874047841 32.6285643324607),  Mexico,                         Mexicali,                       POINT(-115.4678 32.6633)
MXP,           Malpensa,                                    8,                major,            POINT(8.71295953502437 45.6274405140381),   Italy,                          Gallarate,                      POINT(8.7914 45.6649)
NLK,           Norfolk Island,                              8,                mid,              POINT(167.943394116205 -29.0351592555275),  ,                               ,
NUE,           Nurnberg,                                    8,                major,            POINT(11.0774179739096 49.4945052170345),   Germany,                        Nuremberg,                      POINT(11.0775 49.4539)
ODS,           Odessa Int'l,                                8,                major,            POINT(30.6768308310206 46.4406268759106),   Ukraine,                        Odesa,                          POINT(30.7326 46.4775)
OOL,           Gold Coast,                                  8,                mid,              POINT(153.512876264303 -28.1665168540202),  Australia,                      Gold Coast,                     POINT(153.4 -28.0167)
ORN,           Oran Es Senia,                               8,                mid,              POINT(-0.60679696443112 35.6202747312734),  Algeria,                        Oran,                           POINT(-0.6331 35.6969)
PAT,           Lok Nayak Jaiprakash,                        8,                mid,              POINT(85.0909021314663 25.5944434295605),   India,                          Patna,                          POINT(85.1 25.6)
PDU,           Paysandu,                                    8,                mid,              POINT(-58.0685346825257 -32.3614545292723), Uruguay,                        Paysandú,                       POINT(-58.0756 -32.3214)
PFO,           Paphos Int'l,                                8,                major,            POINT(32.4832322064926 34.7134012817335),   Cyprus,                         Paphos,                         POINT(32.4167 34.7667)
PLM,           Sultan Mahmud Badaruddin II,                 8,                mid,              POINT(104.699128326762 -2.89999345005997),  Indonesia,                      Palembang,                      POINT(104.7556 -2.9861)
PTG,           Polokwane Int'l,                             8,                mid,              POINT(29.4533403645644 -23.858986270166),   South Africa,                   Polokwane,                      POINT(29.45 -23.9)
PUJ,           Punta Cana,                                  8,                mid,              POINT(-68.3632351074649 18.563039033987),   Dominican Republic,             Pantanal,                       POINT(-68.3667 18.5333)
QRO,           Queretaro Int'l,                             8,                mid,              POINT(-100.18735943003 20.622466071278),    Mexico,                         Querétaro,                      POINT(-100.3928 20.5875)
RAJ,           Rajkot,                                      8,                mid,              POINT(70.7799548311565 22.3092816988361),   India,                          Rājkot,                         POINT(70.7833 22.3)
RIC,           Richmond Int'l,                              8,                major,            POINT(-77.333119638113 37.5082899750901),   United States,                  Highland Springs,               POINT(-77.3285 37.5516)
RJH,           Shah Makhdum,                                8,                mid,              POINT(88.6138045704431 24.4448068623035),   Bangladesh,                     Rājshāhi,                       POINT(88.6 24.3667)
ROC,           Greater Rochester Int'l,                     8,                major,            POINT(-77.6652445062197 43.1275519826482),  United States,                  Greece,                         POINT(-77.6988 43.246)
ROK,           Rockhampton,                                 8,                mid,              POINT(150.478897 -23.378599),               Australia,                      Gracemere,                      POINT(150.4558 -23.4391)
ROV,           Rostov-on-Don,                               8,                mid,              POINT(39.8035144445391 47.2551119519754),   Russia,                         Bataysk,                        POINT(39.7333 47.1667)
RTW,           Saratov,                                     8,                mid,              POINT(46.035023249891 51.5606456508842),    Russia,                         Saratov,                        POINT(46.0167 51.5333)
SAP,           Ramón Villeda Morales Int'l,                 8,                mid,              POINT(-87.9272365125409 15.4558630524883),  Honduras,                       San Pedro Sula,                 POINT(-88.0333 15.5)
SBA,           Santa Barbara Muni.,                         8,                mid,              POINT(-119.8366015808 34.4257312978783),    United States,                  Goleta,                         POINT(-119.8594 34.4361)
SCC,           Deadhorse,                                   8,                mid,              POINT(-148.457855 70.19751),                ,                               ,
SFJ,           Kangerlussuaq,                               8,                mid,              POINT(-50.694199 67.018097),                Greenland,                      Ilulissat,                      POINT(-51.1 69.2167)
SGF,           Springfield Reg.,                            8,                major,            POINT(-93.3826379012003 37.2421444903024),  United States,                  Republic,                       POINT(-93.4446 37.1452)
SHV,           Shreveport Reg.,                             8,                major,            POINT(-93.8285222229503 32.4545798866513),  United States,                  Shreveport,                     POINT(-93.7955 32.4653)
SIP,           Simferopol Int'l,                            8,                major,            POINT(33.9960529244537 45.0202173978165),   Ukraine,                        Hvardiiske,                     POINT(34.0142 45.1142)
SIT,           Sitka Rocky Gutierrez,                       8,                mid,              POINT(-135.365692 57.05349),                United States,                  Sitka,                          POINT(-135.3152 57.2401)
