@timestamp:date,network.total_bytes_in:counter_long,cluster:keyword,temporality:keyword
2024-05-10T00:04:00.568Z,6,prod-delta,delta
2024-05-10T00:04:16.233Z,55,prod-null,
2024-05-10T00:04:16.233Z,55,prod-cumulative,cumulative
2024-05-10T00:04:16.233Z,2,prod-delta,delta
2024-05-10T00:04:30.589Z,64,prod-null,
2024-05-10T00:04:30.589Z,64,prod-cumulative,cumulative
2024-05-10T00:04:30.589Z,9,prod-delta,delta
2024-05-10T00:04:46.368Z,73,prod-null,
2024-05-10T00:04:46.368Z,73,prod-cumulative,cumulative
2024-05-10T00:04:46.368Z,9,prod-delta,delta
2024-05-10T00:05:01.663Z,73,prod-null,
2024-05-10T00:05:01.663Z,73,prod-cumulative,cumulative
2024-05-10T00:05:01.663Z,0,prod-delta,delta
2024-05-10T00:05:16.319Z,74,prod-null,
2024-05-10T00:05:16.319Z,74,prod-cumulative,cumulative
2024-05-10T00:05:16.319Z,1,prod-delta,delta
2024-05-10T00:05:31.884Z,78,prod-null,
2024-05-10T00:05:31.884Z,78,prod-cumulative,cumulative
2024-05-10T00:05:31.884Z,4,prod-delta,delta
2024-05-10T00:05:46.799Z,81,prod-null,
2024-05-10T00:05:46.799Z,81,prod-cumulative,cumulative
2024-05-10T00:05:46.799Z,3,prod-delta,delta
2024-05-10T00:06:01.137Z,85,prod-null,
2024-05-10T00:06:01.137Z,85,prod-cumulative,cumulative
2024-05-10T00:06:01.137Z,4,prod-delta,delta
2024-05-10T00:06:17.106Z,93,prod-null,
2024-05-10T00:06:17.106Z,93,prod-cumulative,cumulative
2024-05-10T00:06:17.106Z,8,prod-delta,delta
2024-05-10T00:06:32.501Z,95,prod-null,
2024-05-10T00:06:32.501Z,95,prod-cumulative,cumulative
2024-05-10T00:06:32.501Z,2,prod-delta,delta
2024-05-10T00:06:47.437Z,101,prod-null,
2024-05-10T00:06:47.437Z,101,prod-cumulative,cumulative
2024-05-10T00:06:47.437Z,6,prod-delta,delta
2024-05-10T00:07:02.080Z,101,prod-null,
2024-05-10T00:07:02.080Z,101,prod-cumulative,cumulative
2024-05-10T00:07:02.080Z,0,prod-delta,delta
2024-05-10T00:07:17.121Z,110,prod-null,
2024-05-10T00:07:17.121Z,110,prod-cumulative,cumulative
2024-05-10T00:07:17.121Z,9,prod-delta,delta
2024-05-10T00:07:32.726Z,111,prod-null,
2024-05-10T00:07:32.726Z,111,prod-cumulative,cumulative
2024-05-10T00:07:32.726Z,1,prod-delta,delta
2024-05-10T00:07:46.868Z,114,prod-null,
2024-05-10T00:07:46.868Z,114,prod-cumulative,cumulative
2024-05-10T00:07:46.868Z,3,prod-delta,delta
2024-05-10T00:08:02.511Z,120,prod-null,
2024-05-10T00:08:02.511Z,120,prod-cumulative,cumulative
2024-05-10T00:08:02.511Z,6,prod-delta,delta
2024-05-10T00:08:17.243Z,127,prod-null,
2024-05-10T00:08:17.243Z,127,prod-cumulative,cumulative
2024-05-10T00:08:17.243Z,7,prod-delta,delta
2024-05-10T00:08:32.900Z,127,prod-null,
2024-05-10T00:08:32.900Z,127,prod-cumulative,cumulative
2024-05-10T00:08:32.900Z,0,prod-delta,delta
2024-05-10T00:08:47.104Z,131,prod-null,
2024-05-10T00:08:47.104Z,131,prod-cumulative,cumulative
2024-05-10T00:08:47.104Z,4,prod-delta,delta
2024-05-10T00:09:02.916Z,136,prod-null,
2024-05-10T00:09:02.916Z,136,prod-cumulative,cumulative
2024-05-10T00:09:02.916Z,5,prod-delta,delta
2024-05-10T00:09:18.165Z,141,prod-null,
2024-05-10T00:09:18.165Z,141,prod-cumulative,cumulative
2024-05-10T00:09:18.165Z,5,prod-delta,delta
2024-05-10T00:09:32.317Z,145,prod-null,
2024-05-10T00:09:32.317Z,145,prod-cumulative,cumulative
2024-05-10T00:09:32.317Z,4,prod-delta,delta
2024-05-10T00:09:46.821Z,147,prod-null,
2024-05-10T00:09:46.821Z,147,prod-cumulative,cumulative
2024-05-10T00:09:46.821Z,2,prod-delta,delta
2024-05-10T00:10:02.458Z,156,prod-null,
2024-05-10T00:10:02.458Z,156,prod-cumulative,cumulative
2024-05-10T00:10:02.458Z,9,prod-delta,delta
2024-05-10T00:10:16.603Z,163,prod-null,
2024-05-10T00:10:16.603Z,163,prod-cumulative,cumulative
2024-05-10T00:10:16.603Z,7,prod-delta,delta
2024-05-10T00:10:30.661Z,167,prod-null,
2024-05-10T00:10:30.661Z,167,prod-cumulative,cumulative
2024-05-10T00:10:30.661Z,4,prod-delta,delta
2024-05-10T00:10:45.773Z,172,prod-null,
2024-05-10T00:10:45.773Z,172,prod-cumulative,cumulative
2024-05-10T00:10:45.773Z,5,prod-delta,delta
2024-05-10T00:11:00.281Z,179,prod-null,
2024-05-10T00:11:00.281Z,179,prod-cumulative,cumulative
2024-05-10T00:11:00.281Z,7,prod-delta,delta
2024-05-10T00:11:14.414Z,186,prod-null,
2024-05-10T00:11:14.414Z,186,prod-cumulative,cumulative
2024-05-10T00:11:14.414Z,7,prod-delta,delta
2024-05-10T00:11:29.961Z,192,prod-null,
2024-05-10T00:11:29.961Z,192,prod-cumulative,cumulative
2024-05-10T00:11:29.961Z,6,prod-delta,delta
2024-05-10T00:11:45.023Z,193,prod-null,
2024-05-10T00:11:45.023Z,193,prod-cumulative,cumulative
2024-05-10T00:11:45.023Z,1,prod-delta,delta
2024-05-10T00:11:59.299Z,3,prod-null,
2024-05-10T00:11:59.299Z,3,prod-cumulative,cumulative
2024-05-10T00:11:59.299Z,3,prod-delta,delta
2024-05-10T00:12:14.222Z,4,prod-null,
2024-05-10T00:12:14.222Z,4,prod-cumulative,cumulative
2024-05-10T00:12:14.222Z,1,prod-delta,delta
2024-05-10T00:12:29.896Z,7,prod-null,
2024-05-10T00:12:29.896Z,7,prod-cumulative,cumulative
2024-05-10T00:12:29.896Z,3,prod-delta,delta
2024-05-10T00:12:45.639Z,16,prod-null,
2024-05-10T00:12:45.639Z,16,prod-cumulative,cumulative
2024-05-10T00:12:45.639Z,9,prod-delta,delta
2024-05-10T00:13:00.093Z,21,prod-null,
2024-05-10T00:13:00.093Z,21,prod-cumulative,cumulative
2024-05-10T00:13:00.093Z,5,prod-delta,delta
2024-05-10T00:13:14.874Z,28,prod-null,
2024-05-10T00:13:14.874Z,28,prod-cumulative,cumulative
2024-05-10T00:13:14.874Z,7,prod-delta,delta
2024-05-10T00:13:30.685Z,28,prod-null,
2024-05-10T00:13:30.685Z,28,prod-cumulative,cumulative
2024-05-10T00:13:30.685Z,0,prod-delta,delta
2024-05-10T00:13:46.357Z,31,prod-null,
2024-05-10T00:13:46.357Z,31,prod-cumulative,cumulative
2024-05-10T00:13:46.357Z,3,prod-delta,delta
2024-05-10T00:14:00.434Z,34,prod-null,
2024-05-10T00:14:00.434Z,34,prod-cumulative,cumulative
2024-05-10T00:14:00.434Z,3,prod-delta,delta
2024-05-10T00:14:14.944Z,34,prod-null,
2024-05-10T00:14:14.944Z,34,prod-cumulative,cumulative
2024-05-10T00:14:14.944Z,0,prod-delta,delta
2024-05-10T00:14:30.356Z,36,prod-null,
2024-05-10T00:14:30.356Z,36,prod-cumulative,cumulative
2024-05-10T00:14:30.356Z,2,prod-delta,delta
2024-05-10T00:14:45.938Z,36,prod-null,
2024-05-10T00:14:45.938Z,36,prod-cumulative,cumulative
2024-05-10T00:14:45.938Z,0,prod-delta,delta
2024-05-10T00:15:01.492Z,45,prod-null,
2024-05-10T00:15:01.492Z,45,prod-cumulative,cumulative
2024-05-10T00:15:01.492Z,9,prod-delta,delta
