@timestamp:date,labels.job:keyword,labels.instance:keyword,labels.le:keyword,metrics.request_duration_seconds_bucket:double
2024-05-10T00:07:00.000Z,worker,a,1,2.4
2024-05-10T00:07:00.000Z,worker,a,2,7.2
2024-05-10T00:07:00.000Z,worker,a,+Inf,9.6
2024-05-10T00:07:00.000Z,worker,b,1,7.2
2024-05-10T00:07:00.000Z,worker,b,2,16.8
2024-05-10T00:07:00.000Z,worker,b,+Inf,19.2
2024-05-10T00:07:00.000Z,repair,r,1,4.8
2024-05-10T00:07:00.000Z,repair,r,2,2.4
2024-05-10T00:07:00.000Z,repair,r,3,12
2024-05-10T00:07:00.000Z,repair,r,+Inf,12
2024-05-10T00:08:00.000Z,api,a,1,10.4
2024-05-10T00:08:00.000Z,api,a,2,26
2024-05-10T00:08:00.000Z,api,a,+Inf,39
2024-05-10T00:08:00.000Z,api,b,1,15.6
2024-05-10T00:08:00.000Z,api,b,2,26
2024-05-10T00:08:00.000Z,api,b,+Inf,39
2024-05-10T00:08:00.000Z,worker,a,1,2.6
2024-05-10T00:08:00.000Z,worker,a,2,7.8
2024-05-10T00:08:00.000Z,worker,a,+Inf,10.4
2024-05-10T00:08:00.000Z,worker,b,1,7.8
2024-05-10T00:08:00.000Z,worker,b,2,18.2
2024-05-10T00:08:00.000Z,worker,b,+Inf,20.8
2024-05-10T00:08:00.000Z,repair,r,1,5.2
2024-05-10T00:08:00.000Z,repair,r,2,2.6
2024-05-10T00:08:00.000Z,repair,r,3,13
2024-05-10T00:08:00.000Z,repair,r,+Inf,13
2024-05-10T00:09:00.000Z,api,a,1,11.2
2024-05-10T00:09:00.000Z,api,a,2,28
2024-05-10T00:09:00.000Z,api,a,+Inf,42
2024-05-10T00:09:00.000Z,api,b,1,16.8
2024-05-10T00:09:00.000Z,api,b,2,28
2024-05-10T00:09:00.000Z,api,b,+Inf,42
2024-05-10T00:09:00.000Z,worker,a,1,2.8
2024-05-10T00:09:00.000Z,worker,a,2,8.4
2024-05-10T00:09:00.000Z,worker,a,+Inf,11.2
2024-05-10T00:09:00.000Z,worker,b,1,8.4
2024-05-10T00:09:00.000Z,worker,b,2,19.6
2024-05-10T00:09:00.000Z,worker,b,+Inf,22.4
2024-05-10T00:09:00.000Z,repair,r,1,5.6
2024-05-10T00:09:00.000Z,repair,r,2,2.8
2024-05-10T00:09:00.000Z,repair,r,3,14
2024-05-10T00:09:00.000Z,repair,r,+Inf,14
2024-05-10T00:10:00.000Z,api,a,1,12
2024-05-10T00:10:00.000Z,api,a,2,30
2024-05-10T00:10:00.000Z,api,a,+Inf,45
2024-05-10T00:10:00.000Z,api,b,1,18
2024-05-10T00:10:00.000Z,api,b,2,30
2024-05-10T00:10:00.000Z,api,b,+Inf,45
2024-05-10T00:10:00.000Z,worker,a,1,3
2024-05-10T00:10:00.000Z,worker,a,2,9
2024-05-10T00:10:00.000Z,worker,a,+Inf,12
2024-05-10T00:10:00.000Z,worker,b,1,9
2024-05-10T00:10:00.000Z,worker,b,2,21
2024-05-10T00:10:00.000Z,worker,b,+Inf,24
2024-05-10T00:10:00.000Z,repair,r,1,6
2024-05-10T00:10:00.000Z,repair,r,2,3
2024-05-10T00:10:00.000Z,repair,r,3,15
2024-05-10T00:10:00.000Z,repair,r,+Inf,15
