abbrev:keyword,name:text,scalerank:integer,type:keyword,location:cartesian_point
KOI,Kirkwall,8,mid,POINT(-322979.9766892366 8170543.7302916255)
KTU,Kota,8,mid,POINT(8443638.79089507 2895830.318753794)
LEX,Blue Grass,8,major,POINT(-9417436.137112718 4584714.387694398)
LIH,Lihue,8,mid,POINT(-17738658.92159534 2508899.0003370745)
LIT,Clinton National,8,major,POINT(-10265948.911502535 4127036.8399761617)
LMM,Los Mochis,8,mid,POINT(-12143030.022268604 2960552.2966441293)
LOV,Venustiano Carranza Int'l,8,mid,POINT(-11295027.684094377 3117899.762984433)
LRD,Laredo Int'l,8,mid,POINT(-11071353.471975287 3191561.350631171)
LSI,Sumburgh,8,mid,POINT(-143386.25994213327 8372335.289070629)
LTK,Bassel Al-Assad Int'l,8,major,POINT(4001294.572750907 4219371.835967912)
LTN,London Luton,8,major,POINT(-41881.42782922769 6778510.173845021)
LYR,Svalbard Longyear,8,mid,POINT(1724921.0020051654 14502137.593437826)
MBJ,Sangster Int'l,8,mid,POINT(-8673835.583232503 2096292.1109924756)
MDL,Mandalay Int'l,8,mid,POINT(10683404.289295465 2476209.3811312905)
MDW,Chicago Midway Int'l,8,major,POINT(-9767408.864089532 5129327.726857204)
MGM,Montgomery Reg.,8,major,POINT(-9616925.035951443 3803359.277461787)
MHT,Manchester-Boston Reg.,8,major,POINT(-7952388.785102858 5301006.050448044)
DNMA,Maiduguri Int'l,8,mid,POINT(1456631.0122478239 1329037.0143177188)
MJM,Mbuji Mayi,8,mid,POINT(2624035.1929455665 -683116.9489604657)
MOT,Minot Int'l,8,mid,POINT(-11275705.459089473 6149484.221118551)
MSO,Missoula Int'l,8,mid,POINT(-12699738.826715998 5928823.781126811)
MXL,Gen R.S. Taboada Int'l,8,mid,POINT(-12829334.654012986 3846105.236601159)
MXP,Malpensa,8,major,POINT(969922.2187413104 5720845.988980041)
NLK,Norfolk Island,8,mid,POINT(18695373.11511 -3380121.7818557587)
NUE,Nurnberg,8,major,POINT(1233132.528159873 6359188.953344722)
ODS,Odessa Int'l,8,major,POINT(3414929.187260608 5851243.349732847)
OOL,Gold Coast,8,mid,POINT(17088975.215953026 -3269984.022480106)
ORN,Oran Es Senia,8,mid,POINT(-67548.32909537641 4248496.772400898)
PAT,Lok Nayak Jaiprakash,8,mid,POINT(9472275.896415105 2948937.113945639)
PDU,Paysandu,8,mid,POINT(-6464159.711970307 -3810851.2315571434)
PFO,Paphos Int'l,8,major,POINT(3616016.8685464207 4125001.4095472917)
PLM,Sultan Mahmud Badaruddin II,8,mid,POINT(11655053.65183475 -322963.7194879351)
PTG,Polokwane Int'l,8,mid,POINT(3278730.8515442796 -2736234.3627758687)
PUJ,Punta Cana,8,mid,POINT(-7610160.521143836 2103557.773842323)
QRO,Queretaro Int'l,8,mid,POINT(-11152805.835673615 2346918.2122207084)
RAJ,Rajkot,8,mid,POINT(7879188.530175245 2548698.927041634)
RIC,Richmond Int'l,8,major,POINT(-8608683.499570044 4510194.66673246)
RJH,Shah Makhdum,8,mid,POINT(9864443.602036383 2807704.1980897053)
ROC,Greater Rochester Int'l,8,major,POINT(-8645655.470767464 5331406.755479048)
ROK,Rockhampton,8,mid,POINT(16751234.18917346 -2677868.447049639)
ROV,Rostov-on-Don,8,mid,POINT(4430906.959748802 5983814.704682168)
RTW,Saratov,8,mid,POINT(5124595.3468343755 6721071.101067962)
SAP,Ramón Villeda Morales Int'l,8,mid,POINT(-9788015.195435785 1741793.3596854515)
SBA,Santa Barbara Muni.,8,mid,POINT(-13340149.466371058 4086111.600439102)
SCC,Deadhorse,8,mid,POINT(-16526252.822861642 11133306.995482098)
SFJ,Kangerlussuaq,8,mid,POINT(-5643252.418852878 10161216.48600118)
SGF,Springfield Reg.,8,major,POINT(-10395307.700094266 4472912.56616818)
SHV,Shreveport Reg.,8,major,POINT(-10444943.31574418 3823130.335275332)
SIP,Simferopol Int'l,8,major,POINT(3784423.3005313645 5624704.86344426)
SIT,Sitka Rocky Gutierrez,8,mid,POINT(-15068839.904319104 7771059.43215472)
SJD,Los Cabos Int'l,8,major,POINT(-12213736.126559211 2651701.1924684388)
SLE,McNary Field,8,major,POINT(-13693173.616651691 5607444.70675169)
SLW,Plan de Guadalupe,8,mid,POINT(-11235727.848882718 2943205.3642723667)
SNN,Shannon,8,major,POINT(-993240.2368420266 6926495.232889382)
SON,Santo Pekoa Int'l,8,mid,POINT(18614944.872420333 -1747531.4057391365)
SRG,Achmad Yani,8,mid,POINT(12287284.676877439 -778797.2653059739)
TAP,Tapachula Int'l,8,mid,POINT(-10282581.698533153 1665140.101219538)
TGD,Podgorica,8,major,POINT(2142531.380922883 5216254.438035203)
TLH,Tallahassee Reg.,8,major,POINT(-9389241.938720442 3554497.0951100723)
TRN,Turin Int'l,8,major,POINT(850944.2551802637 5651745.077274048)
TYN,Taiyuan Wusu Int'l,8,major,POINT(12537456.896295004 4544804.369730283)
UAK,Narsarsuaq,8,mid,POINT(-5055730.620995213 8663253.79608162)
VFA,Victoria Falls,8,mid,POINT(2877249.021340671 -2049141.4070381462)
VGA,Vijaywada,8,mid,POINT(8994315.184034804 1866024.5606041239)
VNS,Varanasi,8,mid,POINT(9223251.085231334 2931107.6427009604)
VRA,Juan Gualberto Gomez,8,major,POINT(-9065493.13194443 2636801.3028389914)
VSA,Villahermosa,8,mid,POINT(-10332571.339315712 2036736.9495373347)
YBR,Brandon,8,mid,POINT(-11125926.238492947 6429792.717696196)
YFB,Iqaluit,8,mid,POINT(-7629473.800098713 9286851.57832899)
YHM,John C. Munro Hamilton Int'l,8,mid,POINT(-8897368.719974093 5336870.13325121)
YMM,Fort McMurray,8,mid,POINT(-12381381.238061914 7690194.899629589)
YPE,Peace River,8,mid,POINT(-13073768.785220405 7604724.391298121)
YQM,Greater Moncton Int'l,8,mid,POINT(-7201109.768953818 5798990.9030672265)
YQY,Sydney/J.A. Douglas McCurdy,8,mid,POINT(-6684394.474102403 5807206.339210798)
YRB,Resolute Bay,8,mid,POINT(-10572101.354980916 12812131.986712972)
YSM,Fort Smith,8,mid,POINT(-12463448.18099093 8404164.160643855)
YTH,Thompson,8,mid,POINT(-10893806.966216503 7518205.231648724)
YTS,Timmins,8,mid,POINT(-9058294.836846324 6201565.547178734)
YUT,Repulse Bay,8,mid,POINT(-9601306.080919845 10024354.442948502)
YVP,Kuujjuaq,8,mid,POINT(-7617964.784721942 7988766.504596894)
YWK,Wabush,8,mid,POINT(-7444269.3096940005 6969334.746868434)
YXD,Edmonton City Centre,8,mid,POINT(-12637319.62435103 7089313.315893888)
YXJ,Fort St. John (N. Peace),8,mid,POINT(-13440318.909673138 7607550.988458597)
YYB,North Bay/Jack Garland,8,mid,POINT(-8841540.537501581 5838020.434522123)
ZAR,Zaria,8,mid,POINT(855742.7196221425 1247453.2980989793)
SKP,Skopje,8,mid,POINT(2407639.8975023176 5154458.785750381)
VE23,Burnpur,8,mid,POINT(9681962.25914386 2708534.3634418976)
VIDX,Hindon Air Force Station,8,mid,POINT(8610650.430347139 3338507.4311547293)
,Sunchon,8,major,POINT(14014102.540944425 4780855.139040323)
EPLL,Łódź Władysław Reymont,8,mid,POINT(2159955.9995710915 6750950.4877955355)
JMU,Jiamusi Dongjiao,8,mid,POINT(14522318.278517649 5916487.666913196)
MDG,Mudanjiang Hailang,8,major,POINT(14424796.485481957 5548501.105573782)
OSB,Mosul Int'l,8,mid,POINT(4802968.708507405 4343167.901295984)
,Rostov S.W.,8,mid,POINT(4430206.4362093005 5961005.548269013)
OUL,Oulu,8,mid,POINT(2824491.347188837 9589641.85948846)
BOD,Bordeaux,8,major,POINT(-78123.28939311122 5595129.388870756)
CEQ,Mandelieu,8,mid,POINT(774150.9293260665 5395466.397670621)
DOL,St Gatien,8,mid,POINT(17661.22997514412 6336451.994711043)
LIL,Lille-Lesquin,8,mid,POINT(345754.4419988828 6545869.162216055)
TLS,Toulouse-Blagnac,8,major,POINT(152898.34313102745 5408432.374516665)
FUK,Fukuoka,8,major,POINT(14520980.756743785 3973188.3320597117)
HIW,Hiroshima-Nishi,8,mid,POINT(14740857.144768618 4078779.1778013846)
NKM,Nagoya,8,mid,POINT(15241823.31132671 4198459.780369257)
SDJ,Sendai,8,mid,POINT(15688283.375864074 4598968.345712369)
KKN,Kirkenes Hoybuktmoen,8,mid,POINT(3327489.744242572 10979419.061494261)
CGB,Marechal Rondon Int'l,8,mid,POINT(-6247269.579797729 -1764358.612397846)
FLN,Hercilio Luz Int'l,8,major,POINT(-5403983.775311228 -3206756.4359988477)
JOI,Joinville-Lauro C. de Loyola,8,mid,POINT(-5432574.80745129 -3026887.357786029)
JPA,Presidente Castro Pinto Int'l,8,mid,POINT(-3890492.927031454 -797579.085511895)
NAT,Augusto Severo Int'l,8,major,POINT(-3923883.0330141652 -657850.389136288)
OPO,Francisco Sa Carneiro,8,major,POINT(-965281.6288988747 5047343.097700593)
SLZ,Marechal Cunha Machado Int'l,8,mid,POINT(-4924355.095817733 -287692.4344673997)
THE,Teresina-Senador Petronio Portella,8,mid,POINT(-4766838.65773869 -564397.2561590385)
VCP,Viracopos-Campinas Int'l,8,mid,POINT(-5247720.930998793 -2633182.5280236835)
VIX,Eurico de Aguiar Salles,8,mid,POINT(-4484899.409841375 -2303550.4814070775)
ALC,Alicante,8,major,POINT(-62030.60887578622 4619998.070732385)
LEI,Almeria,8,mid,POINT(-264005.4647312065 4417908.697067482)
VLC,Valencia,8,mid,POINT(-52706.98819688343 4792315.469321795)
KRN,Kiruna_Airport,8,mid,POINT(2263698.7987375925 10395368.076123616)
NRK,Norrköping Airport,8,major,POINT(1807154.0200379654 8090879.147781534)
BDO,Husein Sastranegara Int'l,8,mid,POINT(11975262.33316275 -770015.4151889349)
ROS,Rosario – Islas Malvinas Int'l,8,mid,POINT(-6766007.413670117 -3884189.7670996315)
MCZ,Maceio/Zumbi dos Palmares Int'l,8,mid,POINT(-3984402.331155381 -1064100.720821432)
SSH,Sharm el-Sheikh Int'l,8,mid,POINT(3828290.52724357 3246503.4598812717)
TCP,Taba Int'l,8,mid,POINT(3871228.566901569 3451532.2465900625)
BDQ,Vadodara,8,mid,POINT(8151513.19896513 2551933.881611313)
KSH,Shahid Ashrafi Esfahani,8,mid,POINT(5249446.864614371 4075412.726983416)
BEN,Benina Int'l,8,mid,POINT(2256227.8701199214 3774772.6104427055)
STY,Nueva Hespérides Int'l,8,mid,POINT(-6454758.495452069 -3689683.574835729)
BAIK,Baikonur Cosmodrome,8,spaceport,POINT(7047342.45793506 5774513.8388964385)
KSC,Kennedy Space Center,8,spaceport,POINT(-8976466.227024632 3314233.6639724695)
CSG,Centre Spatial Guyanais,8,spaceport,POINT(-5874154.722978567 584063.0295580276)
AUA,Queen Beatrix Int'l,7,mid,POINT(-7793212.928016378 1403060.2071661926)
JIB,Djibouti-Ambouli Int'l,7,mid,POINT(4803404.055213036 1294776.4983449278)
SAW,Sabiha Gökçen Havaalani,7,major,POINT(3262729.6518857 4998236.219261378)
KSA,Kosrae Island,7,mid,POINT(18140294.850353952 596651.320688774)
FUN,Funafuti Int'l,7,mid,POINT(19947945.358478162 -952503.2767485124)
NAG,Dr. Babasaheb Ambedkar Int'l,7,mid,POINT(8800228.498804038 2402605.2259955257)
HKT,Phuket Int'l,7,mid,POINT(10943378.146616975 905570.5769228583)
NAN,Nadi Int'l,7,mid,POINT(19753771.792048123 -2008647.5942184671)
AGU,Lic. Jesús Terán Peredo Int'l,7,mid,POINT(-11389552.816118516 2475704.9642261537)
ALL,Albenga,7,mid,POINT(904264.4044875562 5472544.55743755)
AMM,Queen Alia Int'l,7,major,POINT(4006355.8750943555 3726960.5297070127)
ARI,Chacalluta Int'l,7,mid,POINT(-7829737.663879898 -2078463.2903823575)
ATR,Atar Int'l,7,mid,POINT(-1452849.6467833705 2332152.2831793325)
BAQ,Ernesto Cortissoz Int'l,7,mid,POINT(-8324088.134775176 1219258.1599457236)
BRC,Teniente Luis Candelaria Int'l,7,mid,POINT(-7921654.161403338 -5033900.199593994)
BYK,Bouaké,7,mid,POINT(-564272.0670974004 863807.8801400807)
BZE,Philip S. W. Goldson Int'l,7,major,POINT(-9830424.56968349 1983316.913916906)
CRP,Corpus Christi Int'l,7,major,POINT(-10853902.810592396 3220567.504659815)
CUR,Hato Int'l,7,mid,POINT(-7676244.635519452 1366751.0275958779)
CUZ,Velazco Astete Int'l,7,major,POINT(-8008732.0584205985 -1521290.1742299814)
DAR,Julius Nyerere Int'l,7,mid,POINT(4364555.763107769 -766236.25732045)
DET,Detroit City,7,mid,POINT(-9239959.467363305 5222458.073872979)
DIL,Presidente Nicolau Lobato Int'l,7,mid,POINT(13973362.852466041 -955256.3689919653)
DME,Moscow Domodedovo Int'l,7,major,POINT(4219036.879250353 7442663.196985433)
DUD,Dunedin Int'l,7,mid,POINT(18946580.338641413 -5768087.463027902)
DZA,Dzaoudzi Pamanzi Int'l,7,mid,POINT(5040745.406460782 -1437456.6844804727)
ELP,El Paso Int'l,7,mid,POINT(-11843916.780693443 3736966.344092591)
EVN,Zvartnots Int'l,7,major,POINT(4942592.410326432 4888108.74092733)
FTW,Fort Worth Meacham Field,7,major,POINT(-10837524.038298065 3871536.006539092)
GDT,JAGS McCartney Int'l,7,mid,POINT(-7919951.380391025 2444675.8786769514)
GLS,Scholes Int'l,7,mid,POINT(-10559254.981462145 3409689.0555304266)
GOM,Goma Int'l,7,mid,POINT(3254987.8658562815 -184628.88894769456)
GOU,Garoua Int'l,7,mid,POINT(1488612.2026627557 1043309.2781158191)
GUM,Antonio B. Won Pat Int'l,7,major,POINT(16119713.525638564 1516072.5798671548)
GYY,Gary/Chicago Int'l,7,mid,POINT(-9730254.084501456 5103897.5235705795)
HAH,Prince Said Ibrahim Int'l,7,mid,POINT(4817302.11908583 -1293019.6871203585)
HBA,Hobart Int'l,7,mid,POINT(16420292.38487077 -5287286.758863006)
HIR,Honiara Int'l,7,mid,POINT(17816223.096637283 -1054240.8270733042)
IEV,Kiev Zhuliany Int'l,7,mid,POINT(3389136.426421935 6518076.263289912)
IND,Indianapolis Int'l,7,major,POINT(-9603910.997645874 4826813.4210143285)
INU,Nauru Int'l,7,mid,POINT(18581019.671998776 -60674.18164536664)
IPC,Mataveri Int'l,7,mid,POINT(-12181699.047597444 -3143322.4850485763)
JUJ,Gob. Horacio Guzman Int'l,7,mid,POINT(-7246204.945703721 -2800527.284017333)
KHN,Nanchang Changbei Int'l,7,mid,POINT(12903262.581378927 3358155.5960129797)
KMG,Kunming Wujiaba Int'l,7,major,POINT(11437200.211897217 2875744.1465633484)
LBA,Leeds Bradford,7,major,POINT(-184771.54921997504 7145400.867562014)
LBV,Libreville Leon M'ba Int'l,7,mid,POINT(1047541.2747129751 50889.04616708905)
LFW,Lomé Tokoin,7,mid,POINT(139253.11953544617 687822.5535436489)
MAJ,Marshall Islands Int'l,7,mid,POINT(19067016.046435077 788822.6351632545)
MFM,Macau Int'l,7,major,POINT(12643056.948534435 2530464.4237606986)
MGQ,Aden Adde Int'l,7,mid,POINT(5043177.848523895 224505.74735198304)
MPM,Maputo Int'l,7,mid,POINT(3626142.4129508836 -2989705.3087203507)
MRU,Sir Seewoosagur Ramgoolam Int'l,7,mid,POINT(6420572.7128638765 -2324249.2006122437)
NAP,Naples Int'l,7,major,POINT(1589958.9694746814 4994374.042314908)
NDB,Nouadhibou Int'l,7,mid,POINT(-1896153.8526920453 2383420.841325014)
NGB,Ningbo Lishe Int'l,7,major,POINT(13521067.885150602 3480539.064616827)
NKC,Nouakchott Int'l,7,mid,POINT(-1775760.271167521 2049013.4688025746)
NOU,La Tontouta Int'l,7,mid,POINT(18503217.64052093 -2513162.7933494844)
OAK,Oakland Int'l,7,major,POINT(-13604718.011410616 4538863.31561408)
ONT,Ontario Int'l,7,major,POINT(-13090318.035377573 4036887.0868777614)
ORK,Cork,7,major,POINT(-945118.2841845707 6772785.8355821455)
PDG,Minangkabau Int'l,7,mid,POINT(11163725.879392691 -87504.95360158873)
PDL,João Paulo II,7,mid,POINT(-2860575.6435568 4543230.3658530535)
PEW,Bacha Khan Int'l,7,mid,POINT(7961438.066966148 4027647.689150116)
PIK,Glasgow Prestwick,7,mid,POINT(-513291.01491689496 7461264.703902999)
PMG,Ponta Porã Int'l,7,mid,POINT(-6201172.390098794 -2577904.048923968)
PMR,Palmerston N. Int'l,7,mid,POINT(19550071.827409033 -4913037.790681443)
PNI,Pohnpei Int'l,7,mid,POINT(17611111.29774732 779085.7073988881)
PPT,Tahiti Faa'a Int'l,7,mid,POINT(-16654482.070742918 -1986047.649798476)
RAI,Praia Int'l,7,mid,POINT(-2614472.04601206 1682861.125883868)
RAK,Marrakech-Menara,7,mid,POINT(-893294.9823897476 3711218.094472542)
RAR,Rarotonga Int'l,7,mid,POINT(-17788649.38995358 -2415859.7629382997)
REP,Siem Reap Int'l,7,major,POINT(11556719.824695675 1506475.2703427267)
RGA,Hermes Quijada Int'l,7,mid,POINT(-7542232.448229492 -7128878.350037609)
RGL,Piloto Civil Norberto Fernandez Int'l,7,mid,POINT(-7715161.0801772615 -6730217.719884303)
RNO,Reno-Tahoe Int'l,7,major,POINT(-13333323.547478328 4794391.43877309)
ROR,Roman Tmetuchl Int'l,7,mid,POINT(14976139.87476799 822078.6365996924)
SID,Amilcar Cabral Int'l,7,mid,POINT(-2554120.7873862777 1889975.13242098)
SJJ,Sarajevo,7,major,POINT(2041223.0393792342 5438537.24696356)
SKB,Robert L. Bradshaw Int'l,7,mid,POINT(-6981314.201527872 1957072.1904655132)
SLA,Martín Miguel de Güemes Int,7,mid,POINT(-7289030.611113107 -2856641.581825258)
SPN,Saipan Int'l,7,mid,POINT(16221887.485914063 1703208.4974420785)
SRE,Juana Azurduy de Padilla Int'l,7,mid,POINT(-7268368.277044414 -2156574.3426799397)
SXM,Princess Juliana Int'l,7,major,POINT(-7025626.436682454 2042493.7259003702)
