id,date,product,sku,price,tax,shipped
731007,2016-12-01T01:53:46.000Z,"[""Jumper - Pale Violet Red"",""Clutch - natural"",""Cardigan - black"",""Jersey dress - black""]","[""ZO0047800478"",""ZO0308303083"",""ZO0351903519"",""ZO0652506525""]","[33,25,20,29]","[6.27,4.75,3.8,5.51]","[2016-12-03T01:53:46.000Z,2016-12-03T11:53:46.000Z]"
550503,2016-12-01T02:15:22.000Z,"[""Tracksuit top - black"",""Print T-shirt - khaki""]","[""ZO0566405664"",""ZO0587505875""]","[34,12]","[6.46,2.28]",[null]
550519,2016-12-01T02:29:46.000Z,"[""Ankle boots - ice"",""Sandals - black""]","[""ZO0018400184"",""ZO0137001370""]","[25,33]","[4.75,6.27]","[2016-12-03T02:29:46.000Z,2016-12-03T12:29:46.000Z]"
550521,2016-12-01T02:29:46.000Z,"[""Basic T-shirt - light blue"",""Classic heels - black""]","[""ZO0666706667"",""ZO0710307103""]","[12,65]","[2.28,12.35]","[2016-12-03T02:29:46.000Z,2016-12-03T12:29:46.000Z]"
550522,2016-12-01T02:31:12.000Z,"[""Sandals - black"",""3 PACK - Socks - blue/grey""]","[""ZO0258502585"",""ZO0481004810""]","[33,8]","[6.27,1.52]","[2016-12-03T02:31:12.000Z,2016-12-03T12:31:12.000Z]"
550538,2016-12-01T02:51:22.000Z,"[""Handbag - black"",""Ankle boots - grey""]","[""ZO0246202462"",""ZO0699406994""]","[75,60]","[14.25,11.4]","[2016-12-03T02:51:22.000Z,2016-12-03T12:51:22.000Z]"
550542,2016-12-01T02:54:14.000Z,"[""High heeled sandals - cognac"",""Snood - black/red/green/yellow""]","[""ZO0137301373"",""ZO0192601926""]","[25,10]","[4.75,1.9]","[2016-12-03T02:54:14.000Z,2016-12-03T12:54:14.000Z]"
550568,2016-12-01T03:25:55.000Z,"[""Casual lace-ups - navy"",""Jumper - dark grey multicolor""]","[""ZO0388403884"",""ZO0447604476""]","[50,25]","[9.5,4.75]",[2016-12-03T13:25:55.000Z]
550569,2016-12-01T03:28:48.000Z,"[""Lace-ups - camel/saphire"",""Lace-up boots - taupe""]","[""ZO0389303893"",""ZO0688606886""]","[50,65]","[9.5,12.35]",[2016-12-03T13:28:48.000Z]
550578,2016-12-01T03:38:53.000Z,"[""Lace-up boots - cognac/whisky"",""Print T-shirt - rose dotted""]","[""ZO0326203262"",""ZO0707207072""]","[85,12]","[16.15,2.28]","[null,2016-12-03T13:38:53.000Z]"
550580,2016-12-01T03:41:46.000Z,"[""Lace-up boots - cognac"",""Sports shirt - black""]","[""ZO0144801448"",""ZO0219602196""]","[50,17]","[9.5,3.23]","[2016-12-03T03:41:46.000Z,2016-12-03T13:41:46.000Z]"
550588,2016-12-01T03:51:50.000Z,"[""Chinos - tan"",""Watch - black""]","[""ZO0528205282"",""ZO0601406014""]","[21,21]","[3.99,3.99]","[2016-12-03T03:51:50.000Z,2016-12-03T13:51:50.000Z]"
550609,2016-12-01T04:06:14.000Z,"[""2 PACK - Vest - white/white"",""Boots - black""]","[""ZO0139601396"",""ZO0642106421""]","[15,42]","[2.85,7.98]",[2016-12-03T04:06:14.000Z]
550622,2016-12-01T04:16:19.000Z,"[""Ankle boots - White"",""High heels - black""]","[""ZO0133201332"",""ZO0248802488""]","[75,26]","[14.25,4.94]","[2016-12-03T04:16:19.000Z,2016-12-03T14:16:19.000Z]"
550644,2016-12-01T04:42:14.000Z,"[""Blazer - brown"",""Lace-ups - black""]","[""ZO0270102701"",""ZO0368603686""]","[50,55]","[9.5,10.45]","[2016-12-03T04:42:14.000Z,2016-12-03T14:42:14.000Z]"
550653,2016-12-01T04:53:46.000Z,"[""SET - Pyjamas - grey/blue"",""Wool - black""]","[""ZO0478204782"",""ZO0627106271""]","[25,33]","[4.75,6.27]","[2016-12-03T04:53:46.000Z,2016-12-03T14:53:46.000Z]"
550659,2016-12-01T05:00:58.000Z,"[""Suit jacket - light grey"",""Sports shirt - dark grey""]","[""ZO0424004240"",""ZO0614706147""]","[60,11]","[11.4,2.09]","[null,null]"
550663,2016-12-01T05:05:17.000Z,"[""Lace-up boots - black"",""Print T-shirt - white""]","[""ZO0399703997"",""ZO0560905609""]","[65,11]","[12.35,2.09]","[2016-12-03T05:05:17.000Z,2016-12-03T15:05:17.000Z]"
550670,2016-12-01T05:16:48.000Z,"[""Ankle boots - cognac"",""Summer dress - Lemon Chiffon""]","[""ZO0143001430"",""ZO0336403364""]","[33,55]","[6.27,10.45]","[2016-12-03T05:16:48.000Z,2016-12-03T15:16:48.000Z]"
550687,2016-12-01T05:35:31.000Z,"[""Across body bag - gun "",""Jumper - dark rose""]","[""ZO0211202112"",""ZO0708607086""]","[19,22]","[3.61,4.18]","[2016-12-03T05:35:31.000Z,2016-12-03T15:35:31.000Z]"
550694,2016-12-01T05:42:43.000Z,"[""Suit trousers - black"",""Sweatshirt - dark blue""]","[""ZO0522805228"",""ZO0583805838""]","[29,25]","[5.51,4.75]","[2016-12-03T05:42:43.000Z,null]"
550708,2016-12-01T05:57:07.000Z,"[""Sweatshirt - dark blue"",""Blouse - black""]","[""ZO0181501815"",""ZO0650306503""]","[25,19]","[4.75,3.61]","[2016-12-03T05:57:07.000Z,2016-12-03T15:57:07.000Z]"
550709,2016-12-01T06:00:00.000Z,"[""Clutch - gold"",""Ballet pumps - khaki""]","[""ZO0001500015"",""ZO0698306983""]","[50,25]","[9.5,4.75]",[2016-12-03T06:00:00.000Z]
550710,2016-12-01T06:00:00.000Z,"[""Print T-shirt - navy blazer"",""Summer jacket - grey""]","[""ZO0118901189"",""ZO0285702857""]","[15,42]","[2.85,7.98]","[2016-12-03T06:00:00.000Z,null]"
550718,2016-12-01T06:07:12.000Z,"[""Jersey dress - white"",""Vest - salt/pepper""]","[""ZO0051100511"",""ZO0346903469""]","[33,33]","[6.27,6.27]","[2016-12-03T06:07:12.000Z,2016-12-03T16:07:12.000Z]"
550724,2016-12-01T06:14:24.000Z,"[""Long sleeved top - dark red"",""Platform boots - brown""]","[""ZO0145101451"",""ZO0163001630""]","[17,42]","[3.23,7.98]","[2016-12-03T06:14:24.000Z,2016-12-03T16:14:24.000Z]"
550728,2016-12-01T06:17:17.000Z,"[""Jeans Skinny Fit - khaki"",""Handbag - black""]","[""ZO0088500885"",""ZO0183701837""]","[25,31]","[4.75,5.89]",[2016-12-03T16:17:17.000Z]
550736,2016-12-01T06:27:22.000Z,"[""Dressing gown - off-white"",""Tote bag - taupe ""]","[""ZO0088200882"",""ZO0099600996""]","[21,33]","[3.99,6.27]","[null,2016-12-03T16:27:22.000Z]"
550743,2016-12-01T06:34:34.000Z,"[""Wallet - lilac"",""Over-the-knee boots - cognac""]","[""ZO0190401904"",""ZO0323803238""]","[12,100]","[2.28,19]","[2016-12-03T06:34:34.000Z,2016-12-03T16:34:34.000Z]"
550771,2016-12-01T07:09:07.000Z,"[""Blouse - Medium Slate Blue"",""Shift dress - Lemon Chiffon""]","[""ZO0265902659"",""ZO0332103321""]","[33,42]","[6.27,7.98]","[2016-12-03T07:09:07.000Z,2016-12-03T17:09:07.000Z]"
550784,2016-12-01T07:27:50.000Z,"[""Smart lace-ups - black"",""Lace-up boots - cognac""]","[""ZO0683206832"",""ZO0687706877""]","[75,65]","[14.25,12.35]","[null,null]"
550810,2016-12-01T07:56:38.000Z,"[""Summer jacket - black"",""Seratonin - Long sleeved top - khaki""]","[""ZO0538505385"",""ZO0547305473""]","[42,11]","[7.98,2.09]",[null]
550817,2016-12-01T08:03:50.000Z,"[""Shorts - black"",""Blazer - black""]","[""ZO0270302703"",""ZO0705107051""]","[8,65]","[1.52,12.35]","[2016-12-03T08:03:50.000Z,2016-12-03T18:03:50.000Z]"
550828,2016-12-01T08:21:07.000Z,"[""Tracksuit bottoms - black"",""Print T-shirt - off white""]","[""ZO0111201112"",""ZO0438704387""]","[29,14]","[5.51,2.66]","[2016-12-03T08:21:07.000Z,2016-12-03T18:21:07.000Z]"
550833,2016-12-01T08:24:00.000Z,"[""Ankle boots - sand/gold"",""Ankle boots - taupe""]","[""ZO0025700257"",""ZO0140901409""]","[42,29]","[7.98,5.51]","[null,null]"
550841,2016-12-01T08:32:38.000Z,"[""Jumper - multicolor"",""Snood - grey""]","[""ZO0449404494"",""ZO0603106031""]","[29,15]","[5.51,2.85]","[2016-12-03T08:32:38.000Z,2016-12-03T18:32:38.000Z]"
550861,2016-12-01T08:45:36.000Z,"[""Parka - dark denim"",""Shirt - light blue denim""]","[""ZO0111101111"",""ZO0626206262""]","[65,33]","[12.35,6.27]","[2016-12-03T08:45:36.000Z,2016-12-03T18:45:36.000Z]"
550864,2016-12-01T08:47:02.000Z,"[""Shorts - multicoloured"",""Shirt - grey/white""]","[""ZO0277802778"",""ZO0532905329""]","[21,25]","[3.99,4.75]","[2016-12-03T08:47:02.000Z,2016-12-03T18:47:02.000Z]"
550884,2016-12-01T09:01:26.000Z,"[""Clutch - silver"",""Snood - grey/lilac/black""]","[""ZO0096800968"",""ZO0191601916""]","[21,11]","[3.99,2.09]","[2016-12-03T09:01:26.000Z,2016-12-03T19:01:26.000Z]"
550892,2016-12-01T09:08:38.000Z,"[""Across body bag - black"",""Print T-shirt - white/black""]","[""ZO0464704647"",""ZO0558305583""]","[25,15]","[4.75,2.85]","[2016-12-03T09:08:38.000Z,2016-12-03T19:08:38.000Z]"
550896,2016-12-01T09:17:17.000Z,"[""Maxi skirt - blue"",""Lace-ups - white""]","[""ZO0633506335"",""ZO0669306693""]","[14,65]","[2.66,12.35]","[2016-12-03T09:17:17.000Z,2016-12-03T19:17:17.000Z]"
550900,2016-12-01T09:21:36.000Z,"[""Sandals - Misty Rose"",""Ankle boots - tan""]","[""ZO0242002420"",""ZO0246102461""]","[33,60]","[6.27,11.4]","[2016-12-03T09:21:36.000Z,2016-12-03T19:21:36.000Z]"
550921,2016-12-01T09:47:31.000Z,"[""Suit - navy"",""Basic T-shirt - blue""]","[""ZO0407604076"",""ZO0549905499""]","[110,12]","[20.9,2.28]",[2016-12-03T19:47:31.000Z]
550936,2016-12-01T10:03:22.000Z,"[""Blouse - pomegranate"",""Lace-up boots - black""]","[""ZO0065700657"",""ZO0379103791""]","[29,65]","[5.51,12.35]","[2016-12-03T10:03:22.000Z,2016-12-03T20:03:22.000Z]"
550942,2016-12-01T10:10:34.000Z,"[""Vest - gold metallic"",""Summer dress - blue""]","[""ZO0062400624"",""ZO0489404894""]","[19,29]","[3.61,5.51]","[2016-12-03T10:10:34.000Z,2016-12-03T20:10:34.000Z]"
550951,2016-12-01T10:17:46.000Z,"[""Cardigan - light grey"",""Wool jumper - dark blue""]","[""ZO0485504855"",""ZO0497504975""]","[33,21]","[6.27,3.99]","[2016-12-03T10:17:46.000Z,2016-12-03T20:17:46.000Z]"
550955,2016-12-01T10:20:38.000Z,"[""Print T-shirt - port royal"",""Blouse - dark red""]","[""ZO0062900629"",""ZO0651406514""]","[21,17]","[3.99,3.23]","[2016-12-03T10:20:38.000Z,2016-12-03T20:20:38.000Z]"
550957,2016-12-01T10:23:31.000Z,"[""Classic heels - petrol"",""Watch - nude""]","[""ZO0133101331"",""ZO0189401894""]","[25,17]","[4.75,3.23]","[2016-12-03T10:23:31.000Z,2016-12-03T20:23:31.000Z]"
723321,2016-12-01T10:33:36.000Z,"[""Slip-ons - grey"",""High heeled sandals - black"",""Across body bag - black"",""Pencil skirt - light brown""]","[""ZO0010900109"",""ZO0136201362"",""ZO0209602096"",""ZO0259902599""]","[25,29,14,33]","[4.75,5.51,2.66,6.27]","[2016-12-03T10:33:36.000Z,2016-12-03T20:33:36.000Z]"
550984,2016-12-01T10:55:12.000Z,"[""Sunglasses - black"",""Print T-shirt - light grey multicolor""]","[""ZO0548405484"",""ZO0600006000""]","[11,15]","[2.09,2.85]",[2016-12-03T10:55:12.000Z]
550989,2016-12-01T10:56:38.000Z,"[""Ankle boots - black"",""Summer dress - dusty rose""]","[""ZO0022200222"",""ZO0340503405""]","[33,50]","[6.27,9.5]","[2016-12-03T10:56:38.000Z,2016-12-03T20:56:38.000Z]"
550990,2016-12-01T10:56:38.000Z,"[""Lace-up boots - dark brown"",""Polo shirt - white""]","[""ZO0404404044"",""ZO0570605706""]","[50,12]","[9.5,2.28]","[2016-12-03T10:56:38.000Z,2016-12-03T20:56:38.000Z]"
551008,2016-12-01T11:15:22.000Z,"[""Print T-shirt - black"",""Across body bag - Blue Violety""]","[""ZO0207902079"",""ZO0491404914""]","[12,22]","[2.28,4.18]","[2016-12-03T11:15:22.000Z,2016-12-03T21:15:22.000Z]"
551018,2016-12-01T11:29:46.000Z,"[""Tote bag - gunmetal"",""Ankle boots - dark blue""]","[""ZO0198201982"",""ZO0377003770""]","[21,75]","[3.99,14.25]",[2016-12-03T21:29:46.000Z]
551026,2016-12-01T11:34:05.000Z,"[""Across body bag - black"",""Print T-shirt - Medium Sea Green""]","[""ZO0104501045"",""ZO0204202042""]","[17,23]","[3.23,4.37]","[2016-12-03T11:34:05.000Z,2016-12-03T21:34:05.000Z]"
551032,2016-12-01T11:41:17.000Z,"[""Lace-ups - gold"",""Blouse - black""]","[""ZO0059000590"",""ZO0669406694""]","[75,21]","[14.25,3.99]","[2016-12-03T11:41:17.000Z,2016-12-03T21:41:17.000Z]"
730372,2016-12-01T11:42:43.000Z,"[""Handbag - black/bronze"",""Jumpsuit - dark blue"",""2 PACK - Tights - black"",""High heeled sandals - avana""]","[""ZO0198001980"",""ZO0258702587"",""ZO0360703607"",""ZO0662306623""]","[25,65,11,85]","[4.75,12.35,2.09,16.15]","[2016-12-03T11:42:43.000Z,2016-12-03T21:42:43.000Z]"
551038,2016-12-01T11:47:02.000Z,"[""Bow tie - dark blue"",""Rucksack - rust cognac""]","[""ZO0409704097"",""ZO0604706047""]","[7,22]","[1.33,4.18]","[2016-12-03T11:47:02.000Z,2016-12-03T21:47:02.000Z]"
551042,2016-12-01T11:48:29.000Z,"[""Tights - grey multicolor/black"",""Ankle boots - dark brown""]","[""ZO0024100241"",""ZO0225802258""]","[25,33]","[4.75,6.27]","[2016-12-03T11:48:29.000Z,2016-12-03T21:48:29.000Z]"
725553,2016-12-01T11:58:34.000Z,"[""Tights - dark grey multicolor/coralle"",""Across body bag - Blue Violety"",""Sweatshirt - light grey multicolor"",""Long sleeved top - dark grey multicolor""]","[""ZO0096500965"",""ZO0180201802"",""ZO0222002220"",""ZO0640006400""]","[17,17,17,11]","[3.23,3.23,3.23,2.09]","[2016-12-03T11:58:34.000Z,2016-12-03T21:58:34.000Z]"
551064,2016-12-01T12:14:24.000Z,"[""Laptop bag - black"",""Belt - cognac ""]","[""ZO0315403154"",""ZO0598605986""]","[34,11]","[6.46,2.09]","[2016-12-03T12:14:24.000Z,2016-12-03T22:14:24.000Z]"
551068,2016-12-01T12:15:50.000Z,"[""Lace-ups - black"",""Lace-ups - marron""]","[""ZO0387003870"",""ZO0683906839""]","[60,60]","[11.4,11.4]","[2016-12-03T12:15:50.000Z,2016-12-03T22:15:50.000Z]"
551077,2016-12-01T12:24:29.000Z,"[""Tote bag - black"",""Lace-up boots - resin coffee""]","[""ZO0403504035"",""ZO0702207022""]","[42,50]","[7.98,9.5]","[2016-12-03T12:24:29.000Z,2016-12-03T22:24:29.000Z]"
551095,2016-12-01T12:38:53.000Z,"[""Trainers - black"",""Lace-up boots - cognac""]","[""ZO0404704047"",""ZO0509605096""]","[12,60]","[2.28,11.4]",[null]
551108,2016-12-01T12:56:10.000Z,"[""Vest - black"",""Boots - Light Grey""]","[""ZO0221202212"",""ZO0374503745""]","[12,100]","[2.28,19]","[2016-12-03T12:56:10.000Z,2016-12-03T22:56:10.000Z]"
551111,2016-12-01T12:59:02.000Z,"[""High heeled boots - Midnight Blue"",""Ankle boots - Olive Drab""]","[""ZO0361903619"",""ZO0374903749""]","[165,65]","[31.35,12.35]","[2016-12-03T12:59:02.000Z,2016-12-03T22:59:02.000Z]"
551114,2016-12-01T13:00:29.000Z,"[""Ballet pumps - rose-gold"",""Summer dress - black""]","[""ZO0337403374"",""ZO0365003650""]","[33,60]","[6.27,11.4]","[2016-12-03T13:00:29.000Z,2016-12-03T23:00:29.000Z]"
551115,2016-12-01T13:01:55.000Z,"[""Long sleeved top - navy/off-white/coral red"",""Sweatshirt - black""]","[""ZO0500905009"",""ZO0645706457""]","[12,21]","[2.28,3.99]","[2016-12-03T13:01:55.000Z,2016-12-03T23:01:55.000Z]"
551133,2016-12-01T13:26:24.000Z,"[""Vest - chilli pepper"",""Jersey dress - Blue Violety""]","[""ZO0042500425"",""ZO0062200622""]","[17,42]","[3.23,7.98]","[2016-12-03T13:26:24.000Z,2016-12-03T23:26:24.000Z]"
551137,2016-12-01T13:30:43.000Z,"[""3 PACK - Socks - black/grey"",""Cap - navy""]","[""ZO0460804608"",""ZO0664906649""]","[8,11]","[1.52,2.09]","[2016-12-03T13:30:43.000Z,2016-12-03T23:30:43.000Z]"
551141,2016-12-01T13:33:36.000Z,"[""Tracksuit top - dark grey multicolor"",""Swimming shorts - cactus""]","[""ZO0612406124"",""ZO0627906279""]","[33,21]","[6.27,3.99]","[2016-12-03T13:33:36.000Z,2016-12-03T23:33:36.000Z]"
551153,2016-12-01T13:42:14.000Z,"[""Shirt - red/black"",""Jumper - dark blue /offwhite""]","[""ZO0110201102"",""ZO0450304503""]","[34,33]","[6.46,6.27]",[2016-12-03T23:42:14.000Z]
551154,2016-12-01T13:42:14.000Z,"[""Briefcase - navy"",""Sports shirt - Seashell""]","[""ZO0466704667"",""ZO0617306173""]","[42,12]","[7.98,2.28]","[2016-12-03T13:42:14.000Z,2016-12-03T23:42:14.000Z]"
551183,2016-12-01T14:19:41.000Z,"[""Long sleeved top - mottled light grey/bordeaux"",""Print T-shirt - dark grey multicolor""]","[""ZO0439804398"",""ZO0546705467""]","[11,14]","[2.09,2.66]","[2016-12-03T14:19:41.000Z,2016-12-04T04:19:41.000Z]"
551185,2016-12-01T14:24:00.000Z,"[""Pyjamas - grey/blue"",""3 PACK - Shorts - grey""]","[""ZO0478404784"",""ZO0610306103""]","[29,13]","[5.51,2.47]",[2016-12-03T14:24:00.000Z]
551189,2016-12-01T14:28:19.000Z,"[""SLIM FIT - Formal shirt - lila"",""Snowboard jacket - pumpkin spice""]","[""ZO0422404224"",""ZO0624606246""]","[25,75]","[4.75,14.25]","[2016-12-03T14:28:19.000Z,2016-12-04T04:28:19.000Z]"
551194,2016-12-01T14:34:05.000Z,"[""Pencil skirt - white/red"",""Cardigan - black/offwhite""]","[""ZO0070500705"",""ZO0149101491""]","[17,33]","[3.23,6.27]","[2016-12-03T14:34:05.000Z,2016-12-04T04:34:05.000Z]"
551204,2016-12-01T14:44:10.000Z,"[""Bustier - white"",""Across body bag - cognac""]","[""ZO0200702007"",""ZO0212602126""]","[14,21]","[2.66,3.99]","[2016-12-03T14:44:10.000Z,2016-12-04T04:44:10.000Z]"
551220,2016-12-01T15:04:19.000Z,"[""Light jacket - dark blue"",""Tracksuit bottoms - dark blue""]","[""ZO0428304283"",""ZO0530105301""]","[50,25]","[9.5,4.75]","[2016-12-03T15:04:19.000Z,2016-12-04T05:04:19.000Z]"
551222,2016-12-01T15:05:46.000Z,"[""Chinos - Slim Fit - black"",""Basic T-shirt - rose""]","[""ZO0418904189"",""ZO0551805518""]","[23,8]","[4.37,1.52]","[2016-12-03T15:05:46.000Z,2016-12-04T05:05:46.000Z]"
729030,2016-12-01T15:10:05.000Z,"[""Ballet pumps - Dodger Blue"",""Across body bag - cognac"",""Platform heels - red"",""Wedges - beige""]","[""ZO0001800018"",""ZO0005200052"",""ZO0010100101"",""ZO0211402114""]","[21,31,32,15]","[3.99,5.89,6.08,2.85]","[2016-12-03T15:10:05.000Z,2016-12-04T05:10:05.000Z]"
726702,2016-12-01T15:21:36.000Z,"[""Classic heels - cognac"",""Jumper - dark grey"",""Summer dress - pomegranate"",""High heeled ankle boots - cognac""]","[""ZO0041700417"",""ZO0141101411"",""ZO0366503665"",""ZO0654206542""]","[55,19,33,42]","[10.45,3.61,6.27,7.98]","[2016-12-03T15:21:36.000Z,2016-12-04T05:21:36.000Z]"
551237,2016-12-01T15:24:29.000Z,"[""Scarf - black"",""Boots - dark brown""]","[""ZO0404504045"",""ZO0462704627""]","[13,60]","[2.47,11.4]","[2016-12-03T15:24:29.000Z,2016-12-04T05:24:29.000Z]"
551251,2016-12-01T15:36:00.000Z,"[""Print T-shirt - dark red"",""Print T-shirt - dark grey""]","[""ZO0494104941"",""ZO0494504945""]","[12,11]","[2.28,2.09]",[2016-12-03T15:36:00.000Z]
551271,2016-12-01T15:51:50.000Z,"[""Across body bag - brown"",""Jumper - dark blue""]","[""ZO0454004540"",""ZO0464104641""]","[15,33]","[2.85,6.27]",[2016-12-03T15:51:50.000Z]
551279,2016-12-01T16:03:22.000Z,"[""4 PACK - Shorts - black"",""Swimming shorts - dark blue""]","[""ZO0476304763"",""ZO0479304793""]","[17,21]","[3.23,3.99]","[2016-12-03T16:03:22.000Z,2016-12-04T06:03:22.000Z]"
551281,2016-12-01T16:04:48.000Z,"[""Handbag - cognac "",""Belt - brown""]","[""ZO0088900889"",""ZO0188001880""]","[25,11]","[4.75,2.09]",[2016-12-04T06:04:48.000Z]
551285,2016-12-01T16:07:41.000Z,"[""Sweatshirt - tan"",""T-bar sandals - black/green""]","[""ZO0522405224"",""ZO0588605886""]","[29,11]","[5.51,2.09]","[2016-12-03T16:07:41.000Z,2016-12-04T06:07:41.000Z]"
