Issue #,Issue Title,Current Team,Suggested Team,Confidence,Test Class,YAML Path,Feature Area,Reasoning,URL
47379,Longer running tests should run early in the build for optimal execution scheduling,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/47379
48663,Missing rest specs for testing features' code snippets,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/48663
49184,Remove need for forbidden api overrides ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/49184
49340,Add Windows-compatible testing for interacting with CLI over TTY,Team:Delivery,Team:Delivery,high,,,Unknown,Installer/packaging issue from title,https://github.com/elastic/elasticsearch/issues/49340
49980,Test with BCJSSE in FIPS 140 mode for 7.x,Team:Security,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/49980
51086,Fail yml test if TESTRESPONSE search pattern doesnt match,Team:Delivery,Team:Search,medium,,,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/51086
51572,Testing documentation examples that require time to process their results,Team:Docs,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/51572
51576,Simplifying cleanup after code examples ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/51576
51580,Integrate large curated data sets into the documentation tests (e.g. Kibana sample data),Team:Docs,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/51580
51837,Support gradle run command for multi-node cluster,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/51837
52095,Clean up custom policy handling in tests ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/52095
52784,Watcher 3rd party tests no longer run in CI,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/52784
53122,[CI] Packer cache script doesn't preload dependencies from detached configurations,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/53122
54348,Improve efficiency of packaging test execution,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/54348
54749,Remove requirement to manually manage all third-party dependencies,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/54749
57606,Make elasticserach.test-with-ssl plugin more generic,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/57606
57918,Elasticsearch build and Gradle plugins should support Gradle configuration cache,Team:Delivery,Team:Search,medium,,,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/57918
60339,Remove temporary files to pacify docs build. ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/60339
61964,ESTestCase SuppressCodecs is outdated,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/61964
63480,Build should fail early with meaningful error message when build prerequisites are not met,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/63480
63696,Remove standlone testing Gradle plugins,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/63696
65030,Reduce packaged size of sql-cli executable jar,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/65030
65125,Rearrange x-pack modules and plugins,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/65125
65522,Better tests for searching old indices,Team:Delivery,Team:Search,medium,,,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/65522
69067,Integrations tests should be regularly run with assertions disabled,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/69067
69944,Test failures in the :client:rest gradle subproject do not include reproduction lines,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/69944
71096,Forbid version-range-based skips that match no versions,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/71096
72222,Verify docs for every REST endpoint,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/72222
77830,[CI] Failed to archive additional logs: Problem creating TAR: request exceeds size in header,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/77830
78043,Improve parallelization of large REST test suites,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/78043
78273,Validate HTTP links in the source code,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/78273
78891,Make Joda dependency optional,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/78891
78977,YAML tests skipped unless using (nonexistent) OSS distribution,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/78977
79688,Enhance Installation class for Packaging Tests with multiple nodes,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/79688
82813,Make it simpler to override Gradle heap size,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/82813
84643,Confusing usages of compileOnly vs api in plugin and module projects,Team:Core/Infra,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/84643
85786,Use more robust method for allocating port ranges used in integration tests,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/85786
86057,Port public Gradle plugin API to use lazy configuration,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/86057
88774,Replace AntFixture with plain build-in Gradle API for execution,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/88774
89057,"[CI] Deprecated Gradle features were used in this build, making it incompatible with Gradle 8.0",Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/89057
90177,Tests using Mockito fail in IntelliJ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/90177
90489,Using `--https` with run task fails for external plugin authors,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/90489
90735,[Elasticsearch Upgrade] - Can't use already created service after upgrade,Team:Delivery,Team:Search,medium,,,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/90735
90929,Smarter sourcing for compatible REST tests ,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/90929
94730,Ensure we bundle the latest available APM agent,Team:Core/Infra,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/94730
95904,Fork HdrHistogram library,Team:Analytics,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/95904
100595,Additional cleanup between docs tests,Team:Docs,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/100595
103869,Change CI release tests to not use snapshot versions,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/103869
104558,ESQL: Test without default distribution,Team:Analytics,Team:ES|QL,medium,,,ESQL,Feature area: ESQL,https://github.com/elastic/elasticsearch/issues/104558
105855,Gradle throws exception snapshotting task inputs,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/105855
106622,Support test cluster JVM arguments conditional on Java version,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/106622
108825,Cleanup verification metadata,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/108825
109079,Test logging can make Gradle go OOM,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/109079
111532,Improve support for customizing TLS environment in test clusters,Team:Security,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/111532
112635,[CI] PackagesSecurityAutoConfigurationTests test20SecurityNotAutoConfiguredOnReInstallation failing,Team:Delivery,Team:Security,high,PackagesSecurityAutoConfigurationTests,,Security,Security test class: PackagesSecurityAutoConfigurationTests,https://github.com/elastic/elasticsearch/issues/112635
112827,Licenses mismatch for the highl-level rest client between the doc and the pom,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/112827
113549,[CI] Packaging tests on Debian 10 fail due to signature error when updating apt-get,Team:Delivery,Team:Delivery,low,Packaging,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/113549
114972,Release automation set the wrong CCS version for 8.15 on the 8.x branch,Team:Core/Infra,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/114972
118583,macOS 15.2 M4: Unable to launch Elasticsearch Docker container,Team:Delivery,Team:Search,medium,,,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/118583
118653,Point GitHub latest release to the highest version instead of the newest one,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/118653
119261,"[CI] InternalDistributionBwcSetupPluginFuncTest builds distribution from branches via archives extractedAssemble [bwcDistVersion: 8.1.3, bwcProject: bugfix2, expectedAssembleTaskName: extractedAssemble, #3] failing",Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119261
119868,[CI] InternalDistributionBwcSetupPluginFuncTest supports linux aarch distributions failing,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119868
119869,[CI] InternalDistributionBwcSetupPluginFuncTest bwc expanded distribution folder can be resolved as bwc project artifact failing,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119869
119870,"[CI] InternalDistributionBwcSetupPluginFuncTest builds distribution from branches via archives extractedAssemble [bwcDistVersion: 8.3.0, bwcProject: staged, expectedAssembleTaskName: extractedAssemble, #1] failing",Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119870
119871,"[CI] InternalDistributionBwcSetupPluginFuncTest builds distribution from branches via archives extractedAssemble [bwcDistVersion: 8.2.1, bwcProject: bugfix, expectedAssembleTaskName: extractedAssemble, #2] failing",Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119871
119947,[CI] InternalDistributionBwcSetupPluginFuncTest supports darwin aarch distributions failing,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/119947
119948,[CI] InternalBwcGitPluginFuncTest can resolve checkout folder as project artifact failing,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/119948
120424,[CI] MixedClusterClientYamlTestSuiteIT test {p0=search.vectors/160_knn_query_missing_params/kNN query with missing num_candidates param - size provided} failing,Team:Delivery,Team:Search,medium,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,search.vectors/160_knn_query_missing_params/kNN query with missing num_candidates param - size provided,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/120424
120435,[CI] ActiveDirectoryGroupsResolverTests class failing,Team:Delivery,Team:Security,high,ActiveDirectoryGroupsResolverTests,,Security,Security test class: ActiveDirectoryGroupsResolverTests,https://github.com/elastic/elasticsearch/issues/120435
120440,[CI] JdbcResultSetIT testGettingTimeWithoutCalendar failing,Team:Delivery,Team:ES|QL,high,org.elasticsearch.xpack.sql.qa.jdbc.single_node.JdbcResultSetIT,,SQL,SQL test class: org.elasticsearch.xpack.sql.qa.jdbc.single_node.JdbcResultSetIT,https://github.com/elastic/elasticsearch/issues/120440
120476,[CI] MixedClusterClientYamlTestSuiteIT test {p0=logsdb/10_settings/missing hostname field} failing,Team:Delivery,Team:ML,high,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,logsdb/10_settings/missing hostname field,BWC/Upgrade Test,BWC test for ML: org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/120476
120800,CCS Yaml tests don't seem to support `tests.iters`,Team:Delivery,Team:Search,medium,org.elasticsearch.test.rest.yaml,search.vectors/42_knn_search_int4_flat/Vector similarity with filter only,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/120800
120864,[CI] MixedClusterClientYamlTestSuiteIT test {p0=field_caps/10_basic/Get date_nanos field caps} failing,Team:Delivery,Team:ML,high,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,field_caps/10_basic/Get date_nanos field caps,BWC/Upgrade Test,BWC test for ML: org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/120864
121117,[CI] MixedClusterClientYamlTestSuiteIT test {p0=synonyms/110_synonyms_invalid/Reload index with an invalid synonym rule with lenient set to false} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,synonyms/110_synonyms_invalid/Reload index with an invalid synonym rule with lenient set to false,Data Management,Feature area: Data Management,https://github.com/elastic/elasticsearch/issues/121117
121359,[CI] MixedClusterClientYamlTestSuiteIT test {p0=search.highlight/30_max_analyzed_offset/Plain highlighter with max_analyzed_offset < 0 should FAIL} failing,Team:Delivery,Team:Search,medium,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,search.highlight/30_max_analyzed_offset/Plain highlighter with max_analyzed_offset < 0 should FAIL,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/121359
121625,[CI] CommonAnalysisClientYamlTestSuiteIT test {yaml=analysis-common/40_token_filters/stemmer_override file access} failing,Team:Delivery,Team:Delivery,low,org.elasticsearch.analysis.common.CommonAnalysisClientYamlTestSuiteIT,analysis-common/40_token_filters/stemmer_override file access,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/121625
121734,[CI] MultipleAdRealmIT class failing,Team:Delivery,Team:Delivery,low,MultipleAdRealmIT,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/121734
121846,[CI] SamlAuthenticationIT testLoginWithWrongRealmFails failing,Team:Delivery,Team:Security,high,org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,,Security,Security test class: org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,https://github.com/elastic/elasticsearch/issues/121846
121847,[CI] SamlAuthenticationIT testLoginUserWithSamlRoleMapping failing,Team:Delivery,Team:Security,high,org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,,Security,Security test class: org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,https://github.com/elastic/elasticsearch/issues/121847
121848,[CI] SamlAuthenticationIT testLoginUserWithAuthorizingRealm failing,Team:Delivery,Team:Security,high,org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,,Security,Security test class: org.elasticsearch.xpack.security.authc.saml.SamlAuthenticationIT,https://github.com/elastic/elasticsearch/issues/121848
121935,[CI] FullClusterRestartIT class failing,Team:Delivery,Team:Delivery,low,FullClusterRestartIT,,BWC/Upgrade Test,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/121935
122414,[CI] MixedClusterClientYamlTestSuiteIT test {p0=mtermvectors/10_basic/Tests catching other exceptions per item} failing,Team:Delivery,Team:Search,medium,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,mtermvectors/10_basic/Tests catching other exceptions per item,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/122414
122899,[CI] SecureHaHdfsFailoverTestSuiteIT class failing,Team:Delivery,Team:Data Management,medium,SecureHaHdfsFailoverTestSuiteIT,,Data Management,Repository/Snapshot test: SecureHaHdfsFailoverTestSuiteIT,https://github.com/elastic/elasticsearch/issues/122899
123219,"[CI] InternalDistributionBwcSetupPluginFuncTest builds distribution from branches via archives extractedAssemble [bwcDistVersion: 8.4.0, bwcProject: minor, expectedAssembleTaskName: extractedAssemble, #0] failing",Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/123219
123297,[CI] InternalBwcGitPluginFuncTest current repository can be cloned failing,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/123297
123380,[CI] PackageUpgradeTests test21CheckUpgradedVersion failing,Team:Delivery,Team:Delivery,high,PackageUpgradeTests,,Delivery,Packaging/Distribution test: PackageUpgradeTests,https://github.com/elastic/elasticsearch/issues/123380
123803,[CI] SmokeTestIngestWithAllDepsClientYamlTestSuiteIT test {yaml=ingest/80_ingest_simulate/Test ignored_fields} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.smoketest.SmokeTestIngestWithAllDepsClientYamlTestSuiteIT,ingest/80_ingest_simulate/Test ignored_fields,Ingest,Feature area: Ingest,https://github.com/elastic/elasticsearch/issues/123803
124160,[CI] MLModelDeploymentFullClusterRestartIT testDeploymentSurvivesRestart {cluster=OLD} failing,Team:Delivery,Team:ML,high,org.elasticsearch.xpack.restart.MLModelDeploymentFullClusterRestartIT,,ML,ML test class: org.elasticsearch.xpack.restart.MLModelDeploymentFullClusterRestartIT,https://github.com/elastic/elasticsearch/issues/124160
124398,[CI] FullClusterRestartArchivedSettingsIT class failing,Team:Delivery,Team:Delivery,low,FullClusterRestartArchivedSettingsIT,,BWC/Upgrade Test,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/124398
124454,[CI] SmokeTestIngestDisabledClientYamlTestSuiteIT test {yaml=ingest_mustache/10_ingest_disabled/Test bulk api that contains a single index call with pipeline id fails when node.ingest is set to false} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.smoketest,ingest_mustache/10_ingest_disabled/Test bulk api that contains a single index call with pipeline id fails when node.ingest is set to false,Data Management,Feature area: Data Management,https://github.com/elastic/elasticsearch/issues/124454
124526,[CI] InternalDistributionBwcSetupPluginFuncTest class failing,Team:Delivery,Team:Delivery,high,InternalDistributionBwcSetupPluginFuncTest,,Delivery,Packaging/Distribution test: InternalDistributionBwcSetupPluginFuncTest,https://github.com/elastic/elasticsearch/issues/124526
124826,[CI] MLModelDeploymentFullClusterRestartIT class failing,Team:Delivery,Team:ML,high,MLModelDeploymentFullClusterRestartIT,,ML,ML test class: MLModelDeploymentFullClusterRestartIT,https://github.com/elastic/elasticsearch/issues/124826
125240,[CI] GeoIpReindexedIT class failing,Team:Delivery,Team:Data Management,medium,GeoIpReindexedIT,,Data Management,Feature area: Data Management,https://github.com/elastic/elasticsearch/issues/125240
125638,[CI] VerifyVersionConstantsIT testLuceneVersionConstant failing,Team:Delivery,Team:Delivery,low,org.elasticsearch.qa.verify_version_constants.VerifyVersionConstantsIT,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/125638
125901,[CI] RejectionActionIT testSimulatedSearchRejectionLoad failing,Team:Delivery,Team:Distributed Coordination,medium,org.elasticsearch.action.RejectionActionIT,,Search,Rejection/Coordination test: org.elasticsearch.action.RejectionActionIT,https://github.com/elastic/elasticsearch/issues/125901
125903,[CI] DockerYmlTestSuiteIT test {p0=/11_nodes/Test cat nodes output with full_id set} failing,Team:Delivery,Team:ML,high,org.elasticsearch.docker.test.DockerYmlTestSuiteIT,/11_nodes/Additional disk information,Delivery,ML test class: org.elasticsearch.docker.test.DockerYmlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/125903
125904,[CI] DockerYmlTestSuiteIT test {p0=/10_info/Info} failing,Team:Delivery,Team:ML,high,org.elasticsearch.docker.test.DockerYmlTestSuiteIT,/11_nodes/Additional disk information,Delivery,ML test class: org.elasticsearch.docker.test.DockerYmlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/125904
125905,[CI] DockerYmlTestSuiteIT test {p0=/11_nodes/Additional disk information} failing,Team:Delivery,Team:ML,high,org.elasticsearch.docker.test.DockerYmlTestSuiteIT,/11_nodes/Additional disk information,Delivery,ML test class: org.elasticsearch.docker.test.DockerYmlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/125905
125906,[CI] DockerYmlTestSuiteIT test {p0=/11_nodes/Test cat nodes output} failing,Team:Delivery,Team:ML,high,org.elasticsearch.docker.test.DockerYmlTestSuiteIT,/11_nodes/Additional disk information,Delivery,ML test class: org.elasticsearch.docker.test.DockerYmlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/125906
125996,[CI] LegacyYamlRestTestPluginFuncTest module projects are wired into test cluster setup failing,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/125996
126001,[CI] MlConfigIndexMappingsFullClusterRestartIT class failing,Team:Delivery,Team:ML,high,MlConfigIndexMappingsFullClusterRestartIT,,ML,ML test class: MlConfigIndexMappingsFullClusterRestartIT,https://github.com/elastic/elasticsearch/issues/126001
126120,Remove remaining asciidoc files from project,Team:Docs,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/126120
126569,[CI] SnapshotRepoTestKitClientYamlTestSuiteIT test {p0=/10_analyze/Analysis without details} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.repositories.blobstore.testkit.rest.SnapshotRepoTestKitClientYamlTestSuiteIT,/10_analyze/Analysis without details,Search,Repository/Snapshot test: org.elasticsearch.repositories.blobstore.testkit.rest.SnapshotRepoTestKitClientYamlTestSuiteIT,https://github.com/elastic/elasticsearch/issues/126569
127741,[CI] MixedClusterClientYamlTestSuiteIT test {p0=search/350_point_in_time/point-in-time with index filter} failing,Team:Delivery,Team:Search,medium,org.elasticsearch.backwards.MixedClusterClientYamlTestSuiteIT,search/350_point_in_time/point-in-time with index filter,Search,Feature area: Search,https://github.com/elastic/elasticsearch/issues/127741
128114,[CI] TemporaryDirectoryConfigTests test21AcceptsCustomPathInDocker failing,Team:Delivery,Team:Delivery,medium,TemporaryDirectoryConfigTests,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/128114
128123,[CI] IndexingIT testIndexing {upgradedNodes=2} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.upgrades.IndexingIT,,Data Management,Feature area: Data Management,https://github.com/elastic/elasticsearch/issues/128123
128125,[CI] IndexingIT testIndexing {upgradedNodes=3} failing,Team:Delivery,Team:Data Management,medium,org.elasticsearch.upgrades.IndexingIT,,Data Management,Feature area: Data Management,https://github.com/elastic/elasticsearch/issues/128125
128343,Open source distribution build tasks / documentation,Team:Delivery,Team:Delivery,medium,,,Delivery,Feature area: Delivery,https://github.com/elastic/elasticsearch/issues/128343
128604,[CI] ReleaseNotesGeneratorTest class failing,Team:Delivery,Team:Delivery,low,ReleaseNotesGeneratorTest,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/128604
128681,[CI] YamlRestTestPluginFuncTest yamlRestTest does nothing when there are no tests failing,Team:Delivery,Team:Delivery,low,,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/128681
129120,[CI] TemporaryDirectoryConfigTests class failing,Team:Delivery,Team:Delivery,low,TemporaryDirectoryConfigTests,,Unknown,Defaulting to Delivery (test infrastructure),https://github.com/elastic/elasticsearch/issues/129120
129835,[CI] MinioRepositoryAnalysisRestIT class failing,Team:Delivery,Team:Data Management,medium,MinioRepositoryAnalysisRestIT,,Data Management,Repository/Snapshot test: MinioRepositoryAnalysisRestIT,https://github.com/elastic/elasticsearch/issues/129835
