abbrev:keyword,name:text,                                   scalerank:integer,type:keyword,     location:geo_point
VIAX,          Adampur,                                     9,                [military,mid],   POINT(75.7584828456005 31.4329422397715)
VIBY,          Bareilly,                                    9,                military,         POINT(79.452002687657 28.4218087161144)
OPQS,          Dhamial,                                     9,                small,            POINT(73.0320498392002 33.5614146278861)
CJJ,           Cheongju Int'l,                              9,                major,            POINT(127.495916124681 36.7220227766673)
KWJ,           Gwangju,                                     9,                [mid,military],   POINT(126.810839481226 35.1400051390198)
TAE,           Daegu Int'l,                                 9,                mid,              POINT(128.637537699933 35.8999277969087)
USN,           Ulsan,                                       9,                mid,              POINT(129.355731047528 35.5928957527107)
WIIT,          Radin Inten II,                              9,                mid,              POINT(105.176060419161 -5.242566777132)
IXD,           Allahabad,                                   9,                military,         POINT(81.7317271462187 25.443522027821)
CEK,           Chelyabinsk,                                 9,                mid,              POINT(61.5122589740201 55.2977919496055)
TNN,           Tainan,                                      8,                [military,mid],   POINT(120.209733318093 22.950667918347)
RMQ,           Taichung,                                    8,                [military,mid],   POINT(120.630703547584 24.2666555567115)
RTM,           Rotterdam The Hague,                         8,                mid,              POINT(4.43384434962876 51.9491301899382)
VOZ,           Voronezh-Chertovitskoye,                     8,                mid,              POINT(39.2254496447973 51.8126171268344)
LPL,           Liverpool John Lennon,                       8,                major,            POINT(-2.85862065784938 53.3363751054422)
VTZ,           Vishakapatnam,                               8,                mid,              POINT(83.2235216387465 17.7279577384364)
UPG,           Sultan Hasanuddin Int'l,                     8,                major,            POINT(119.545691342151 -5.05893689455779)
VAV,           Vava'u Int'l,                                8,                mid,              POINT(-173.968093944159 -18.5860058550654)
NCL,           Newcastle Int'l,                             8,                major,            POINT(-1.71034578407216 55.037084860802)
LCE,           Goloson Int'l,                               8,                mid,              POINT(-86.8514685020011 15.7451596659126)
MED,           Madinah Int'l,                               8,                major,            POINT(39.6991359560417 24.5442339605661)
YMX,           Mirabel Int'l,                               8,                mid,              POINT(-74.0287382984814 45.6832250979267)
PLQ,           Palanga Int'l,                               8,                mid,              POINT(21.0974463986251 55.9713426235358)
JAI,           Jaipur Int'l,                                8,                mid,              POINT(75.8010104192668 26.8211798100605)
IXW,           Sonari,                                      8,                mid,              POINT(86.1724662363776 22.8154145110242)
YEI,           Yenisehir,                                   8,                mid,              POINT(29.54492 40.2555395007473)
ADA,           Şakirpaşa,                                   8,                major,            POINT(35.2969614268338 36.9852090641795)
ADQ,           Kodiak,                                      8,                mid,              POINT(-152.485638515235 57.7485921070483)
AMA,           Amarillo Int'l,                              8,                major,            POINT(-101.705352772697 35.2184031919398)
ASP,           Alice Springs,                               8,                mid,              POINT(133.902918 -23.801968)
ATQ,           Raja Sansi Int'l,                            8,                [mid,military],   POINT(74.8071559719824 31.7068220258888)
BBI,           Biju Patnaik,                                8,                mid,              POINT(85.8168899544429 20.2526659754734)
BET,           Bethel,                                      8,                mid,              POINT(-161.83898695944 60.7787379834088)
BGA,           Palonegro,                                   8,                mid,              POINT(-73.1809207725361 7.12770915402685)
BHM,           Birmingham Int'l,                            8,                major,            POINT(-86.7523773615462 33.5618672828058)
BHQ,           Broken Hill,                                 8,                mid,              POINT(141.470407303097 -31.998996737463)
BIL,           Logan Int'l,                                 8,                major,            POINT(-108.536929388125 45.8036855715278)
BIS,           Bismarck Muni.,                              8,                mid,              POINT(-100.757471303717 46.7751066661614)
BJX,           Del Bajio Int'l,                             8,                mid,              POINT(-101.478753382467 20.9858871211938)
BNI,           Benin,                                       8,                mid,              POINT(5.603682560067 6.31716689207818)
BOJ,           Bourgas,                                     8,                major,            POINT(27.5164093662953 42.5670835487702)
BRE,           Bremen,                                      8,                major,            POINT(8.7858617703132 53.052287104156)
BRM,           Jacinto Lara Int'l,                          8,                mid,              POINT(-69.356102 10.0453)
BRO,           Brownsville-South Padre Island Int'l,        8,                mid,              POINT(-97.431765340232 25.9062743545347)
BRS,           Bristol Int'l,                               8,                major,            POINT(-2.71086469134308 51.3862934189148)
BTR,           Baton Rouge Metro,                           8,                major,            POINT(-91.1567544048105 30.5326138040586)
BTS,           Bratislava-M.R. Štefánik,                    8,                major,            POINT(17.1999850022208 48.1698379062535)
BTV,           Burlington Int'l,                            8,                mid,              POINT(-73.1550787790668 44.4692066040732)
CAE,           Columbia Metro,                              8,                major,            POINT(-81.1093352429377 33.9342054584275)
CCJ,           Calicut Int'l,                               8,                major,            POINT(75.950993063051 11.1395520526064)
CCK,           Cocos (Keeling) Islands,                     8,                mid,              POINT(96.8287472144207 -12.1851585953293)
CFU,           Corfu Int'l (Ioannis Kapodistrias),          8,                mid,              POINT(19.9147561641662 39.6067554505259)
CGQ,           Changchun Longjia Int'l,                     8,                major,            POINT(125.690456812998 43.993011479577)
CHS,           Charleston Int'l,                            8,                [major,military], POINT(-80.0369337438262 32.8845301562965)
CJB,           Coimbatore,                                  8,                mid,              POINT(77.038893772262 11.0301415125983)
CLJ,           Someseni,                                    8,                mid,              POINT(23.6869812680486 46.7826626340243)
CMW,           Ignacio Agramonte,                           8,                mid,              POINT(-77.8451039935167 21.4247037281961)
CPR,           Casper/Natrona County Int'l,                 8,                major,            POINT(-106.464444809692 42.8971900483006)
CRK,           Clark Int'l,                                 8,                major,            POINT(120.550770223914 15.1876422423888)
CRW,           Yeager,                                      8,                [major,military], POINT(-81.5964164667526 38.3705914372865)
CTA,           Catania Fontanarossa,                        8,                major,            POINT(15.0674605007053 37.470072800341)
CTM,           Chetumal Int'l,                              8,                mid,              POINT(-88.3242600415365 18.506434233376)
CWL,           Cardiff,                                     8,                major,            POINT(-3.33956876429118 51.3986220911017)
CYB,           Gerrard Smith,                               8,                mid,              POINT(-79.879461638003 19.6898653962844)
CZM,           Cozumel Int'l,                               8,                mid,              POINT(-86.9304064070436 20.5115543771647)
DAY,           James M. Cox Dayton Int'l,                   8,                major,            POINT(-84.2204594238102 39.8990402865362)
DBO,           Dubbo,                                       8,                mid,              POINT(148.569717 -32.218681)
DCA,           Washington Nat'l,                            8,                major,            POINT(-77.0433373925631 38.8537162012123)
DGO,           Durango Int'l,                               8,                mid,              POINT(-104.533846024964 24.1261948326182)
DNK,           Voloskoye,                                   8,                mid,              POINT(35.0939060224975 48.3675718021117)
DOK,           Donetsk,                                     8,                major,            POINT(37.7448085572103 48.0691671285582)
DZO,           Santa Bernardina Int'l,                      8,                mid,              POINT(-56.4992636213744 -33.3591084475501)
EDI,           Edinburgh Int'l,                             8,                major,            POINT(-3.36428468513554 55.9485540113639)
EIS,           Terrance B. Lettsome Int'l,                  8,                mid,              POINT(-64.5371514365794 18.4443618557983)
EKO,           Elko Reg.,                                   8,                mid,              POINT(-115.786479232249 40.8276058815225)
ESE,           Ensenada,                                    8,                mid,              POINT(-116.595724400418 31.7977139760569)
FAE,           Vágar,                                       8,                mid,              POINT(-7.2708 62.0625)
FAR,           Hector Int'l,                                8,                [mid,military],   POINT(-96.8254561269675 46.9198178811323)
FAT,           Fresno Yosemite Int'l,                       8,                mid,              POINT(-119.720001323576 36.7698128373959)
FLG,           Flagstaff Pulliam,                           8,                mid,              POINT(-111.674656171675 35.1389116757976)
FRS,           Mundo Maya Int'l,                            8,                mid,              POINT(-89.8778404226508 16.9149741642226)
FSD,           Sioux Falls Reg.,                            8,                mid,              POINT(-96.7313831017541 43.5801934972763)
GEG,           Spokane Int'l,                               8,                major,            POINT(-117.536836628585 47.6254781278368)
GGT,           Exuma Int'l,                                 8,                mid,              POINT(-75.872613085304 23.5638829069259)
GIB,           Gibraltar,                                   8,                mid,              POINT(-5.34677180033388 36.1512747504173)
GRR,           Gerald R. Ford Int'l,                        8,                mid,              POINT(-85.529573207274 42.8847776020908)
GSO,           Triad Int'l,                                 8,                major,            POINT(-79.9364867577484 36.1053781998932)
GTF,           Great Falls Int'l,                           8,                mid,              POINT(-111.35668472784 47.482270729263)
GZT,           Gaziantep Oğuzeli Int'l,                     8,                major,            POINT(37.47380325219 36.9453633446875)
HBX,           Hubli,                                       8,                mid,              POINT(75.0863155680281 15.3591833386229)
HDY,           Hat Yai Int'l,                               8,                mid,              POINT(100.393751274671 6.93634231940664)
HFE,           Hefei-Luogang,                               8,                mid,              POINT(117.304197015888 31.7798576795778)
HRG,           Hurghada Int'l,                              8,                major,            POINT(33.8071606414118 27.1804260918186)
HRK,           Kharkov Int'l,                               8,                major,            POINT(36.2822010773503 49.9215360631551)
HSV,           Huntsville Int'l,                            8,                major,            POINT(-86.7749430563373 34.6483344609319)
IBA,           Ibadan,                                      8,                mid,              POINT(3.9738133433229 7.36034397269393)
ICT,           Kansas City Int'l,                           8,                major,            POINT(-97.4287387683976 37.6529279603903)
ILM,           Wilmington Int'l,                            8,                mid,              POINT(-77.9103756560469 34.2667840671996)
ILR,           Ilorin Int'l,                                8,                mid,              POINT(4.49484038819934 8.43537651935241)
INL,           Falls Int'l,                                 8,                mid,              POINT(-93.3980027552794 48.5659930848414)
INV,           Inverness,                                   8,                mid,              POINT(-4.06359175587141 57.5395002923424)
IPL,           Imperial Cty.,                               8,                mid,              POINT(-115.57199556658 32.8339586685524)
IXJ,           Jammu,                                       8,                mid,              POINT(74.8423077638915 32.6810428886225)
IXM,           Madurai,                                     8,                mid,              POINT(78.0911394937194 9.83718627877566)
JDH,           Jodhpur,                                     8,                [major,military], POINT(73.0505491895671 26.2637623458351)
JLR,           Jabalpur,                                    8,                mid,              POINT(80.0587438885277 23.1845328746465)
JRO,           Kilimanjaro Int'l,                           8,                mid,              POINT(37.0651896067748 -3.42444495998178)
KAD,           Kaduna,                                      8,                mid,              POINT(7.32525347407434 10.6946192862391)
KGA,           Kananga,                                     8,                mid,              POINT(22.4783332482689 -5.90016656227041)
KMS,           Kumasi,                                      8,                mid,              POINT(-1.59257526582361 6.71460638750365)
KNA,           Viña del Mar,                                8,                mid,              POINT(-71.4806025354969 -32.948391765136)
KNU,           Kanpur,                                      8,                mid,              POINT(80.3675338772002 26.4388334467042)
KOA,           Kona Int'l at Keahole,                       8,                mid,              POINT(-156.040889471058 19.7370991399442)
KOI,           Kirkwall,                                    8,                mid,              POINT(-2.90137849524508 58.9544288788303)
KTU,           Kota,                                        8,                mid,              POINT(75.8504977944552 25.1634187166743)
KYA,           Konya,                                       8,                [major,military], POINT(32.5756732669687 37.9839945531695)
LEX,           Blue Grass,                                  8,                major,            POINT(-84.5982681918786 38.0374273181372)
LIH,           Lihue,                                       8,                mid,              POINT(-159.349084290522 21.9781243162088)
LIT,           Clinton National,                            8,                major,            POINT(-92.2205881319289 34.7284300415179)
LMM,           Los Mochis,                                  8,                mid,              POINT(-109.082694645261 25.688508826099)
LOV,           Venustiano Carranza Int'l,                   8,                mid,              POINT(-101.464960031751 26.9553927160699)
LRD,           Laredo Int'l,                                8,                mid,              POINT(-99.4556603976513 27.5436657175825)
LSI,           Sumburgh,                                    8,                mid,              POINT(-1.28806068838753 59.8766899598999)
LTK,           Bassel Al-Assad Int'l,                       8,                major,            POINT(35.9442407096663 35.4073114596744)
LTN,           London Luton,                                8,                major,            POINT(-0.376227267397439 51.8802952570969)
LYR,           Svalbard Longyear,                           8,                mid,              POINT(15.495229 78.246717)
MBJ,           Sangster Int'l,                              8,                mid,              POINT(-77.9183907635752 18.5011549298249)
MDL,           Mandalay Int'l,                              8,                mid,              POINT(95.9706535950217 21.7055490680274)
MDW,           Chicago Midway Int'l,                        8,                major,            POINT(-87.7421266885612 41.7883492597409)
MEC,           Eloy Alfaro Int'l,                           8,                [mid,military],   POINT(-80.6833845995774 -0.949557002112883)
MGM,           Montgomery Reg.,                             8,                major,            POINT(-86.3903074602686 32.3045879909631)
MHT,           Manchester-Boston Reg.,                      8,                major,            POINT(-71.4375239091857 42.9279139945886)
DNMA,          Maiduguri Int'l,                             8,                mid,              POINT(13.0851390162471 11.8534713188527)
MJM,           Mbuji Mayi,                                  8,                mid,              POINT(23.5721091989052 -6.12484541348812)
MOT,           Minot Int'l,                                 8,                mid,              POINT(-101.2913855313 48.2556049212839)
MSO,           Missoula Int'l,                              8,                mid,              POINT(-114.083694923651 46.9187604768831)
MXL,           Gen R.S. Taboada Int'l,                      8,                mid,              POINT(-115.247874047841 32.6285643324607)
MXP,           Malpensa,                                    8,                major,            POINT(8.71295953502437 45.6274405140381)
NLK,           Norfolk Island,                              8,                mid,              POINT(167.943394116205 -29.0351592555275)
NUE,           Nurnberg,                                    8,                major,            POINT(11.0774179739096 49.4945052170345)
ODS,           Odessa Int'l,                                8,                major,            POINT(30.6768308310206 46.4406268759106)
OOL,           Gold Coast,                                  8,                mid,              POINT(153.512876264303 -28.1665168540202)
ORN,           Oran Es Senia,                               8,                mid,              POINT(-0.60679696443112 35.6202747312734)
PAT,           Lok Nayak Jaiprakash,                        8,                mid,              POINT(85.0909021314663 25.5944434295605)
PDU,           Paysandu,                                    8,                mid,              POINT(-58.0685346825257 -32.3614545292723)
PFO,           Paphos Int'l,                                8,                major,            POINT(32.4832322064926 34.7134012817335)
PLM,           Sultan Mahmud Badaruddin II,                 8,                mid,              POINT(104.699128326762 -2.89999345005997)
PTG,           Polokwane Int'l,                             8,                mid,              POINT(29.4533403645644 -23.858986270166)
PUJ,           Punta Cana,                                  8,                mid,              POINT(-68.3632351074649 18.563039033987)
QRO,           Queretaro Int'l,                             8,                mid,              POINT(-100.18735943003 20.622466071278)
RAJ,           Rajkot,                                      8,                mid,              POINT(70.7799548311565 22.3092816988361)
RIC,           Richmond Int'l,                              8,                major,            POINT(-77.333119638113 37.5082899750901)
RJH,           Shah Makhdum,                                8,                mid,              POINT(88.6138045704431 24.4448068623035)
ROC,           Greater Rochester Int'l,                     8,                major,            POINT(-77.6652445062197 43.1275519826482)
ROK,           Rockhampton,                                 8,                mid,              POINT(150.478897 -23.378599)
ROV,           Rostov-on-Don,                               8,                mid,              POINT(39.8035144445391 47.2551119519754)
RTW,           Saratov,                                     8,                mid,              POINT(46.035023249891 51.5606456508842)
SAP,           Ramón Villeda Morales Int'l,                 8,                mid,              POINT(-87.9272365125409 15.4558630524883)
SBA,           Santa Barbara Muni.,                         8,                mid,              POINT(-119.8366015808 34.4257312978783)
SCC,           Deadhorse,                                   8,                mid,              POINT(-148.457855 70.19751)
SFJ,           Kangerlussuaq,                               8,                mid,              POINT(-50.694199 67.018097)
SGF,           Springfield Reg.,                            8,                major,            POINT(-93.3826379012003 37.2421444903024)
SHV,           Shreveport Reg.,                             8,                major,            POINT(-93.8285222229503 32.4545798866513)
SIP,           Simferopol Int'l,                            8,                major,            POINT(33.9960529244537 45.0202173978165)
SIT,           Sitka Rocky Gutierrez,                       8,                mid,              POINT(-135.365692 57.05349)
SJD,           Los Cabos Int'l,                             8,                major,            POINT(-109.717858386909 23.1626574483597)
SLE,           McNary Field,                                8,                major,            POINT(-123.007871479404 44.9105138452142)
SLW,           Plan de Guadalupe,                           8,                mid,              POINT(-100.932260548587 25.5479976419974)
SNN,           Shannon,                                     8,                major,            POINT(-8.92242885557686 52.6934537102532)
SON,           Santo Pekoa Int'l,                           8,                mid,              POINT(167.220894919375 -15.5055387370858)
SRG,           Achmad Yani,                                 8,                mid,              POINT(110.378556255666 -6.97873484956982)
SXR,           Srinagar,                                    8,                [military,mid],   POINT(74.7826243672311 33.9830909431623)
TAP,           Tapachula Int'l,                             8,                mid,              POINT(-92.370003 14.7911281338773)
TGD,           Podgorica,                                   8,                major,            POINT(19.2466868618873 42.3679335195428)
TLH,           Tallahassee Reg.,                            8,                major,            POINT(-84.3449953984858 30.3955576176938)
TRN,           Turin Int'l,                                 8,                major,            POINT(7.64416230362133 45.1916600734642)
TYN,           Taiyuan Wusu Int'l,                          8,                major,            POINT(112.625891539315 37.7545117791512)
UAK,           Narsarsuaq,                                  8,                mid,              POINT(-45.4164008923108 61.1625968337328)
UTP,           U-Tapao,                                     8,                [military,mid],   POINT(101.00020929048 12.6852930912664)
VFA,           Victoria Falls,                              8,                mid,              POINT(25.8467677208826 -18.0990155983682)
VGA,           Vijaywada,                                   8,                mid,              POINT(80.7973080000675 16.528642778235)
VNS,           Varanasi,                                    8,                mid,              POINT(82.8538741913527 25.4499077329822)
VRA,           Juan Gualberto Gomez,                        8,                major,            POINT(-81.4367103850623 23.0395422339631)
VSA,           Villahermosa,                                8,                mid,              POINT(-92.8190675836262 17.9930660113111)
YBR,           Brandon,                                     8,                mid,              POINT(-99.9458959002463 49.9047279410277)
YED,           CFB Edmonton,                                8,                [military,major], POINT(-113.478839054497 53.6749156618668)
YFB,           Iqaluit,                                     8,                mid,              POINT(-68.5367292441812 63.7511523537807)
YHM,           John C. Munro Hamilton Int'l,                8,                mid,              POINT(-79.9264230959967 43.1633605305096)
YMM,           Fort McMurray,                               8,                mid,              POINT(-111.223840046617 56.6563171390962)
YNT,           Yantai,                                      8,                [major,military], POINT(121.372047417773 37.4077044726924)
YPE,           Peace River,                                 8,                mid,              POINT(-117.443663208082 56.231924036745)
YQM,           Greater Moncton Int'l,                       8,                mid,              POINT(-64.6886696807361 46.1162059639259)
YQY,           Sydney/J.A. Douglas McCurdy,                 8,                mid,              POINT(-60.0469372117026 46.1673405890504)
YRB,           Resolute Bay,                                8,                mid,              POINT(-94.9708023244006 74.7181860987594)
YSM,           Fort Smith,                                  8,                mid,              POINT(-111.961059938158 60.0198749602443)
YTH,           Thompson,                                    8,                mid,              POINT(-97.860733 55.797482)
YTS,           Timmins,                                     8,                mid,              POINT(-81.372047 48.566158)
YUT,           Repulse Bay,                                 8,                mid,              POINT(-86.25 66.533302)
YVP,           Kuujjuaq,                                    8,                mid,              POINT(-68.433342 58.101959)
YWK,           Wabush,                                      8,                mid,              POINT(-66.873009 52.926071)
YXD,           Edmonton City Centre,                        8,                mid,              POINT(-113.522973688581 53.5709436582812)
YXJ,           Fort St. John (N. Peace),                    8,                mid,              POINT(-120.736439 56.246035)
YYB,           North Bay/Jack Garland,                      8,                mid,              POINT(-79.42491 46.358711)
ZAR,           Zaria,                                       8,                mid,              POINT(7.68726764310577 11.1352958601071)
SKP,           Skopje,                                      8,                mid,              POINT(21.6281971858229 41.9564546081544)
VE23,          Burnpur,                                     8,                mid,              POINT(86.974546776573 23.6312179107764)
VIDX,          Hindon Air Force Station,                    8,                mid,              POINT(77.3507888779117 28.7077968601071)
,              Sunchon,                                     8,                major,            POINT(125.890825057486 39.4119659710565)
EPLL,          Łódź Władysław Reymont,                      8,                mid,              POINT(19.4032148744037 51.72720704517)
BXJ,           Alma Ata N.W.,                               8,                [mid,military],   POINT(76.8782640096648 43.3554190837919)
JMU,           Jiamusi Dongjiao,                            8,                mid,              POINT(130.456204704407 46.8430150223379)
MDG,           Mudanjiang Hailang,                          8,                major,            POINT(129.58015153222 44.5342936299935)
ULMM,          Severomorsk-3 (Murmansk N.E.),               8,                [military,major], POINT(33.2903527616285 69.0168711826804)
OSB,           Mosul Int'l,                                 8,                mid,              POINT(43.145802 36.308601)
,              Rostov N.,                                   8,                [military,mid],   POINT(39.6353996343665 47.2774209202867)
,              Rostov S.W.,                                 8,                mid,              POINT(39.7972215345149 47.1158577255835)
OUL,           Oulu,                                        8,                mid,              POINT(25.3728374704307 64.9287992358849)
BOD,           Bordeaux,                                    8,                major,            POINT(-0.701793449075243 44.8321108662674)
CEQ,           Mandelieu,                                   8,                mid,              POINT(6.95431612028937 43.546097987045)
DOL,           St Gatien,                                   8,                mid,              POINT(0.158653528230218 49.3616609986609)
LIL,           Lille-Lesquin,                               8,                mid,              POINT(3.10596499799813 50.5716423929581)
TLS,           Toulouse-Blagnac,                            8,                major,            POINT(1.37350918551153 43.6304625661601)
FUK,           Fukuoka,                                     8,                major,            POINT(130.444189541884 33.5848164332573)
HIW,           Hiroshima-Nishi,                             8,                mid,              POINT(132.419372741681 34.3713815628829)
NKM,           Nagoya,                                      8,                mid,              POINT(136.91962838414 35.2540532052867)
SDJ,           Sendai,                                      8,                mid,              POINT(140.930247381369 38.1382075615287)
KKN,           Kirkenes Hoybuktmoen,                        8,                mid,              POINT(29.8913489500406 69.7238318113692)
CGB,           Marechal Rondon Int'l,                       8,                mid,              POINT(-56.1201774754724 -15.6511470191955)
FLN,           Hercilio Luz Int'l,                          8,                major,            POINT(-48.5448122049599 -27.6646276941638)
JOI,           Joinville-Lauro C. de Loyola,                8,                mid,              POINT(-48.8016498165616 -26.2242941374785)
JPA,           Presidente Castro Pinto Int'l,               8,                mid,              POINT(-34.9488925911125 -7.14617462402047)
NAT,           Augusto Severo Int'l,                        8,                major,            POINT(-35.2488410165389 -5.89912054477116)
OPO,           Francisco Sa Carneiro,                       8,                major,            POINT(-8.67127240719647 41.2368708920452)
SLZ,           Marechal Cunha Machado Int'l,                8,                mid,              POINT(-44.2362344700492 -2.58350921043019)
SSZ,           Santos Air Force Base,                       8,                [military,mid],   POINT(-46.3052704931003 -23.9237590410637)
THE,           Teresina-Senador Petronio Portella,          8,                mid,              POINT(-42.8212402317845 -5.06346299167191)
VCP,           Viracopos-Campinas Int'l,                    8,                mid,              POINT(-47.1410791911014 -23.0096239085339)
VIX,           Eurico de Aguiar Salles,                     8,                mid,              POINT(-40.2885368759913 -20.2574162759418)
ALC,           Alicante,                                    8,                major,            POINT(-0.557230440363588 38.2866408993929)
LEI,           Almeria,                                     8,                mid,              POINT(-2.3716014405912 36.8477672709643)
VLC,           Valencia,                                    8,                mid,              POINT(-0.473474930771676 39.4914597884489)
KRN,           Kiruna_Airport,                              8,                mid,              POINT(20.3351522954898 67.8256066056432)
NRK,           Norrköping Airport,                          8,                major,            POINT(16.2339407695814 58.5833805017541)
BDO,           Husein Sastranegara Int'l,                   8,                mid,              POINT(107.575611852209 -6.90042408353409)
ROS,           Rosario – Islas Malvinas Int'l,              8,                mid,              POINT(-60.7800787216586 -32.9162269743812)
MCZ,           Maceio/Zumbi dos Palmares Int'l,             8,                mid,              POINT(-35.7924951215833 -9.51494118540116)
SSH,           Sharm el-Sheikh Int'l,                       8,                mid,              POINT(34.3901189267288 27.9804044199168)
TCP,           Taba Int'l,                                  8,                mid,              POINT(34.7758378996779 29.5944990568019)
AGR,           Agra,                                        8,                [major,military], POINT(77.960909176509 27.15772773475)
BDQ,           Vadodara,                                    8,                mid,              POINT(73.2262889533239 22.3361640021171)
KSH,           Shahid Ashrafi Esfahani,                     8,                mid,              POINT(47.1565835165639 34.3464167739108)
BEN,           Benina Int'l,                                8,                mid,              POINT(20.2680398018516 32.0872774606553)
DHA,           King Abdulaziz AB,                           8,                [military,major], POINT(50.1477245727844 26.2703680854768)
STY,           Nueva Hespérides Int'l,                      8,                mid,              POINT(-57.9840821176492 -31.4373883387798)
BAIK,          Baikonur Cosmodrome,                         8,                spaceport,        POINT(63.307354423875 45.9635739403124)
KSC,           Kennedy Space Center,                        8,                spaceport,        POINT(-80.6369680911892 28.5163704772027)
CSG,           Centre Spatial Guyanais,                     8,                spaceport,        POINT(-52.7684296893452 5.23941001258035)
AUA,           Queen Beatrix Int'l,                         7,                mid,              POINT(-70.0076228563496 12.5034643630297)
JIB,           Djibouti-Ambouli Int'l,                      7,                mid,              POINT(43.1497127859956 11.5521018230172)
IQQ,           Diego Aracena Int'l,                         7,                [mid,military],   POINT(-70.178635395533 -20.5478400878309)
SAW,           Sabiha Gökçen Havaalani,                     7,                major,            POINT(29.3095991423889 40.9043003553957)
KSA,           Kosrae Island,                               7,                mid,              POINT(162.957041225076 5.3520098571828)
FUN,           Funafuti Int'l,                              7,                mid,              POINT(179.19544202302 -8.52485415059424)
NAG,           Dr. Babasaheb Ambedkar Int'l,                7,                mid,              POINT(79.0537976421986 21.0899317630087)
HKT,           Phuket Int'l,                                7,                mid,              POINT(98.3060384900559 8.10768475952735)
NAN,           Nadi Int'l,                                  7,                mid,              POINT(177.451151198059 -17.7529129479792)
AGU,           Lic. Jesús Terán Peredo Int'l,               7,                mid,              POINT(-102.314093740058 21.7013390329207)
ALL,           Albenga,                                     7,                mid,              POINT(8.12314535436409 44.0458773598158)
AMM,           Queen Alia Int'l,                            7,                major,            POINT(35.989707162193 31.7226621600432)
ARI,           Chacalluta Int'l,                            7,                mid,              POINT(-70.3357301410959 -18.3492061639579)
ATR,           Atar Int'l,                                  7,                mid,              POINT(-13.0511704323315 20.4982706101565)
BAQ,           Ernesto Cortissoz Int'l,                     7,                mid,              POINT(-74.776555978265 10.8866775959414)
BRC,           Teniente Luis Candelaria Int'l,              7,                mid,              POINT(-71.1614300869763 -41.1459976958105)
BYK,           Bouaké,                                      7,                mid,              POINT(-5.06894222275311 7.73610495555032)
BZE,           Philip S. W. Goldson Int'l,                  7,                major,            POINT(-88.3082064033075 17.5360686575521)
CRP,           Corpus Christi Int'l,                        7,                major,            POINT(-97.5022678710298 27.7744560700823)
CUR,           Hato Int'l,                                  7,                mid,              POINT(-68.9568788072761 12.1848346052019)
CUZ,           Velazco Astete Int'l,                        7,                major,            POINT(-71.9436641449722 -13.5382186992639)
DAR,           Julius Nyerere Int'l,                        7,                mid,              POINT(39.2074715039165 -6.86672004249119)
DET,           Detroit City,                                7,                mid,              POINT(-83.0039681417733 42.4090938431907)
DIL,           Presidente Nicolau Lobato Int'l,             7,                mid,              POINT(125.524854209182 -8.54931157414564)
DME,           Moscow Domodedovo Int'l,                     7,                major,            POINT(37.9002531289452 55.4141528223023)
DUD,           Dunedin Int'l,                               7,                mid,              POINT(170.200027 -45.923431)
DZA,           Dzaoudzi Pamanzi Int'l,                      7,                mid,              POINT(45.2817864197899 -12.8049474381643)
ELP,           El Paso Int'l,                               7,                mid,              POINT(-106.395714679366 31.7990860272589)
EVN,           Zvartnots Int'l,                             7,                major,            POINT(44.4000630536938 40.1523679451884)
