@timestamp:date,cluster:keyword,pod:keyword,client.ip:ip,network.bytes_in:long,network.total_bytes_in:counter_long,network.cost:double,network.total_cost:counter_double
2024-05-10T00:07:33.000Z,qa,three,10.10.20.35,906,1819,2.625,46.25
2024-05-10T00:07:33.000Z,qa,two,10.10.20.32,1,6185,0.25,43.125
2024-05-10T00:08:00.000Z,qa,one,10.10.20.34,842,4281,10.75,80.75
2024-05-10T00:08:00.000Z,prod,one,10.10.20.34,569,2384,8.125,19.125
2024-05-10T00:08:00.000Z,staging,one,10.10.20.33,680,2441,10.125,29.5
2024-05-10T00:08:08.000Z,prod,two,10.10.20.34,211,2461,2.375,17.25
2024-05-10T00:08:08.000Z,prod,one,10.10.20.31,23,2407,12.0,31.125
2024-05-10T00:08:08.000Z,staging,two,10.10.20.30,656,1258,6.5,33.0
2024-05-10T00:08:10.000Z,qa,one,10.10.20.30,352,4633,5.25,86.0
2024-05-10T00:08:10.000Z,prod,three,10.10.20.30,102,2974,5.5,28.75
2024-05-10T00:08:16.000Z,staging,three,10.10.20.34,170,2404,6.5,10.0
2024-05-10T00:08:40.000Z,qa,one,10.10.20.30,461,5094,1.25,87.25
2024-05-10T00:08:40.000Z,qa,two,10.10.20.30,743,6928,7.5,50.625
2024-05-10T00:08:56.000Z,qa,two,10.10.20.31,885,7813,12.0,62.625
2024-05-10T00:09:03.000Z,qa,one,10.10.20.30,39,5133,8.875,96.125
2024-05-10T00:09:04.000Z,qa,one,10.10.20.32,830,5963,5.875,102.0
2024-05-10T00:09:04.000Z,staging,three,10.10.20.35,437,437,9.75,19.75
2024-05-10T00:09:08.000Z,prod,three,10.10.20.33,95,3069,11.375,40.125
2024-05-10T00:09:08.000Z,staging,one,10.10.20.34,29,2470,10.0,39.5
2024-05-10T00:09:08.000Z,staging,three,10.10.20.35,606,1043,8.25,28.0
2024-05-10T00:09:13.000Z,qa,three,10.10.20.32,734,2553,7.875,54.125
2024-05-10T00:09:13.000Z,prod,three,10.10.20.34,606,3675,3.75,43.875
2024-05-10T00:09:19.000Z,prod,one,10.10.20.33,227,2634,1.0,32.125
2024-05-10T00:09:34.000Z,staging,one,10.10.20.35,219,2689,5.375,44.875
2024-05-10T00:09:34.000Z,prod,two,10.10.20.33,178,2639,8.875,26.125
2024-05-10T00:09:34.000Z,staging,three,10.10.20.35,399,1442,8.625,36.625
2024-05-10T00:09:34.000Z,staging,two,10.10.20.33,676,1934,2.125,35.125
2024-05-10T00:09:34.000Z,qa,three,10.10.20.32,873,3426,7.125,61.25
2024-05-10T00:09:52.000Z,staging,two,10.10.20.34,566,566,12.5,47.625
2024-05-10T00:09:58.000Z,qa,three,10.10.20.33,540,3966,6.5,67.75
2024-05-10T00:09:58.000Z,prod,one,10.10.20.35,3,2637,2.0,34.125
2024-05-10T00:09:58.000Z,prod,three,10.10.20.31,494,4169,10.5,54.375
2024-05-10T00:09:58.000Z,staging,one,10.10.20.30,753,3442,9.125,54.0
2024-05-10T00:09:58.000Z,qa,two,10.10.20.33,87,7900,11.875,74.5
2024-05-10T00:10:10.000Z,prod,one,10.10.20.32,262,2899,0.625,34.75
2024-05-10T00:10:19.000Z,qa,one,10.10.20.30,114,6077,3.125,3.125
2024-05-10T00:10:19.000Z,staging,one,10.10.20.32,604,4046,4.625,58.625
2024-05-10T00:10:55.000Z,qa,one,10.10.20.34,866,6943,6.625,9.75
2024-05-10T00:10:55.000Z,qa,two,10.10.20.32,17,17,3.125,77.625
2024-05-10T00:11:24.000Z,qa,two,10.10.20.35,4,21,0.0,77.625
2024-05-10T00:11:32.000Z,qa,one,10.10.20.33,883,883,9.375,19.125
2024-05-10T00:11:32.000Z,prod,two,10.10.20.35,839,3478,5.75,31.875
2024-05-10T00:11:42.000Z,qa,one,10.10.20.35,640,1523,11.875,31.0
2024-05-10T00:11:45.000Z,qa,three,10.10.20.34,182,4148,11.375,79.125
2024-05-10T00:11:53.000Z,staging,three,10.10.20.35,130,1572,10.0,46.625
2024-05-10T00:11:53.000Z,qa,three,10.10.20.32,907,5055,8.625,87.75
2024-05-10T00:12:08.000Z,qa,three,10.10.20.30,130,5185,4.75,92.5
2024-05-10T00:12:08.000Z,qa,two,10.10.20.30,131,152,7.75,85.375
2024-05-10T00:12:11.000Z,staging,three,10.10.20.35,489,2061,3.75,50.375
2024-05-10T00:12:18.000Z,prod,three,10.10.20.34,31,4200,11.625,66.0
2024-05-10T00:12:42.000Z,staging,three,10.10.20.31,515,2576,11.375,61.75
2024-05-10T00:12:42.000Z,staging,one,10.10.20.34,947,4993,0.375,59.0
2024-05-10T00:12:48.000Z,qa,two,10.10.20.32,35,187,7.25,92.625
2024-05-10T00:12:48.000Z,staging,two,10.10.20.31,124,690,6.125,53.75
2024-05-10T00:13:11.000Z,staging,one,10.10.20.35,137,5130,2.625,61.625
2024-05-10T00:13:11.000Z,staging,three,10.10.20.35,66,2642,1.625,63.375
2024-05-10T00:13:32.000Z,staging,three,10.10.20.31,731,3373,9.5,72.875
2024-05-10T00:13:50.000Z,staging,three,10.10.20.35,156,3529,10.0,82.875
2024-05-10T00:13:50.000Z,qa,one,10.10.20.32,1006,2529,7.25,38.25
2024-05-10T00:13:50.000Z,prod,one,10.10.20.30,747,3646,7.625,7.625
2024-05-10T00:13:50.000Z,prod,two,10.10.20.30,761,4239,3.625,35.5
2024-05-10T00:13:50.000Z,prod,three,10.10.20.35,156,4356,11.25,77.25
2024-05-10T00:13:56.000Z,prod,one,10.10.20.31,894,4540,7.875,15.5
2024-05-10T00:14:16.000Z,prod,one,10.10.20.30,525,5065,3.625,19.125
2024-05-10T00:14:16.000Z,staging,two,10.10.20.35,601,1291,2.625,56.375
2024-05-10T00:14:16.000Z,qa,one,10.10.20.34,465,2994,1.0,39.25
2024-05-10T00:14:25.000Z,prod,three,10.10.20.33,652,5008,11.25,88.5
2024-05-10T00:14:30.000Z,prod,three,10.10.20.30,677,5685,7.0,95.5
2024-05-10T00:14:30.000Z,qa,three,10.10.20.32,500,5685,3.5,96.0
2024-05-10T00:14:33.000Z,prod,one,10.10.20.34,875,5940,9.375,28.5
2024-05-10T00:14:33.000Z,prod,two,10.10.20.30,4,4243,0.125,35.625
2024-05-10T00:14:33.000Z,staging,three,10.10.20.32,908,4437,2.125,85.0
2024-05-10T00:15:09.000Z,qa,three,10.10.20.30,286,5971,9.75,105.75
2024-05-10T00:15:15.000Z,staging,three,10.10.20.32,150,4587,2.625,87.625
2024-05-10T00:15:15.000Z,staging,one,10.10.20.33,516,5646,8.125,69.75
2024-05-10T00:15:15.000Z,prod,two,10.10.20.35,550,4793,1.0,36.625
2024-05-10T00:15:21.000Z,qa,two,10.10.20.32,1021,1208,1.625,94.25
2024-05-10T00:15:21.000Z,qa,one,10.10.20.32,219,3213,6.25,45.5
2024-05-10T00:15:43.000Z,qa,three,10.10.20.32,606,6577,4.5,110.25
2024-05-10T00:15:49.000Z,qa,two,10.10.20.33,783,1991,4.25,98.5
2024-05-10T00:15:51.000Z,qa,three,10.10.20.30,913,7490,11.625,121.875
2024-05-10T00:15:51.000Z,prod,three,10.10.20.34,417,6102,11.875,107.375
2024-05-10T00:15:51.000Z,staging,two,10.10.20.33,598,1889,4.375,60.75
2024-05-10T00:16:00.000Z,staging,three,10.10.20.32,380,4967,5.25,92.875
2024-05-10T00:16:11.000Z,staging,two,10.10.20.33,48,1937,11.5,72.25
2024-05-10T00:16:18.000Z,prod,two,10.10.20.32,263,5056,3.0,39.625
2024-05-10T00:16:26.000Z,qa,one,10.10.20.31,234,3447,6.875,52.375
2024-05-10T00:16:32.000Z,prod,one,10.10.20.32,354,6294,1.0,29.5
2024-05-10T00:16:55.000Z,prod,one,10.10.20.30,462,6756,4.0,33.5
2024-05-10T00:16:55.000Z,staging,two,10.10.20.32,3,1940,9.125,81.375
2024-05-10T00:17:02.000Z,prod,two,10.10.20.35,899,5955,0.625,0.625
2024-05-10T00:17:02.000Z,qa,one,10.10.20.33,878,4325,7.75,60.125
2024-05-10T00:17:12.000Z,prod,two,10.10.20.35,64,6019,2.0,2.625
2024-05-10T00:17:12.000Z,qa,two,10.10.20.30,82,2073,9.5,9.5
2024-05-10T00:17:12.000Z,qa,three,10.10.20.33,221,7711,7.5,129.375
2024-05-10T00:17:12.000Z,qa,one,10.10.20.30,428,4753,2.625,62.75
2024-05-10T00:17:12.000Z,prod,three,10.10.20.34,983,7085,12.375,119.75
2024-05-10T00:17:14.000Z,prod,one,10.10.20.35,0,6756,5.25,38.75
2024-05-10T00:17:16.000Z,qa,three,10.10.20.32,214,7925,11.125,140.5
2024-05-10T00:17:20.000Z,qa,two,10.10.20.33,988,3061,8.625,18.125
2024-05-10T00:17:30.000Z,qa,two,10.10.20.32,987,4048,7.875,26.0
2024-05-10T00:17:30.000Z,staging,three,10.10.20.33,964,5931,8.0,100.875
2024-05-10T00:17:39.000Z,qa,one,10.10.20.30,277,5030,12.125,74.875
2024-05-10T00:17:39.000Z,prod,one,10.10.20.31,966,7722,3.5,42.25
2024-05-10T00:17:55.000Z,qa,two,10.10.20.30,916,4964,0.5,26.5
2024-05-10T00:18:02.000Z,staging,one,10.10.20.33,4,5650,0.625,70.375
2024-05-10T00:18:02.000Z,qa,one,10.10.20.33,2,5032,10.875,85.75
2024-05-10T00:18:02.000Z,qa,three,10.10.20.32,689,8614,3.625,144.125
2024-05-10T00:18:07.000Z,prod,three,10.10.20.34,45,7130,7.0,126.75
2024-05-10T00:18:16.000Z,qa,three,10.10.20.32,216,8830,0.625,144.75
2024-05-10T00:18:29.000Z,qa,two,10.10.20.31,67,5031,10.125,36.625
2024-05-10T00:18:29.000Z,prod,three,10.10.20.35,107,7237,3.875,130.625
2024-05-10T00:18:33.000Z,prod,three,10.10.20.32,1018,8255,11.5,11.5
2024-05-10T00:18:33.000Z,staging,three,10.10.20.30,601,6532,1.5,102.375
2024-05-10T00:18:33.000Z,qa,one,10.10.20.31,747,5779,2.875,88.625
2024-05-10T00:18:43.000Z,staging,two,10.10.20.30,804,2744,5.75,87.125
2024-05-10T00:18:43.000Z,prod,one,10.10.20.30,990,8712,6.125,48.375
2024-05-10T00:18:43.000Z,qa,one,10.10.20.35,187,5966,1.625,90.25
2024-05-10T00:18:57.000Z,qa,two,10.10.20.30,811,5842,2.5,39.125
2024-05-10T00:18:57.000Z,prod,two,10.10.20.30,1005,7024,0.375,3.0
2024-05-10T00:18:58.000Z,prod,three,10.10.20.34,936,9191,0.875,12.375
2024-05-10T00:18:58.000Z,staging,two,10.10.20.30,842,3586,10.5,97.625
2024-05-10T00:19:36.000Z,qa,two,10.10.20.34,936,6778,8.625,47.75
2024-05-10T00:19:38.000Z,prod,one,10.10.20.30,542,9254,11.125,59.5
2024-05-10T00:19:48.000Z,prod,two,10.10.20.32,1007,8031,5.625,8.625
2024-05-10T00:19:48.000Z,prod,three,10.10.20.32,4,9195,12.25,24.625
2024-05-10T00:19:53.000Z,qa,two,10.10.20.33,877,7655,6.75,54.5
2024-05-10T00:20:00.000Z,staging,three,10.10.20.35,1,6533,8.375,110.75
2024-05-10T00:20:00.000Z,qa,three,10.10.20.31,995,9825,7.5,7.5
2024-05-10T00:20:00.000Z,prod,three,10.10.20.30,774,9969,0.0,24.625
2024-05-10T00:20:03.000Z,staging,two,10.10.20.31,1009,4595,0.75,98.375
2024-05-10T00:20:16.000Z,staging,two,10.10.20.34,589,5184,8.625,107.0
2024-05-10T00:20:25.000Z,prod,two,10.10.20.31,678,8709,1.375,1.375
2024-05-10T00:20:25.000Z,prod,one,10.10.20.31,953,10207,0.875,60.375
2024-05-10T00:20:44.000Z,prod,two,10.10.20.31,756,9465,7.625,7.625
2024-05-10T00:20:44.000Z,staging,three,10.10.20.32,600,7133,9.5,120.25
2024-05-10T00:20:46.000Z,qa,two,10.10.20.35,913,8568,9.375,63.875
2024-05-10T00:21:19.000Z,staging,three,10.10.20.33,198,7331,2.375,122.625
2024-05-10T00:21:26.000Z,qa,one,10.10.20.33,917,6883,3.875,94.125
2024-05-10T00:21:56.000Z,qa,one,10.10.20.30,197,7080,11.875,106.0
2024-05-10T00:21:59.000Z,staging,one,10.10.20.31,749,6399,0.0,70.375
2024-05-10T00:22:08.000Z,staging,three,10.10.20.32,69,7400,5.25,127.875
2024-05-10T00:22:08.000Z,prod,one,10.10.20.33,16,16,5.5,65.875
2024-05-10T00:22:12.000Z,prod,one,10.10.20.31,931,947,7.875,73.75
2024-05-10T00:22:42.000Z,staging,three,10.10.20.30,3,7403,9.5,137.375
2024-05-10T00:22:49.000Z,staging,two,10.10.20.34,3,5187,1.75,108.75
2024-05-10T00:22:53.000Z,staging,one,10.10.20.31,238,6637,4.625,4.625
2024-05-10T00:22:53.000Z,prod,two,10.10.20.33,812,10277,10.75,18.375
2024-05-10T00:22:54.000Z,qa,three,10.10.20.33,972,10797,10.875,18.375
2024-05-10T00:22:59.000Z,qa,one,10.10.20.35,206,7286,6.25,112.25
