id:keyword,name:keyword,shape:geo_shape
UGA,Uganda,"BBOX(29.574300\, 35.009718\, 4.222782\, -1.476109)"
ISR,Gaza Strip,"BBOX(34.216663\, 34.558891\, 31.596100\, 31.216545)"
IRQ,Iraq,"BBOX(38.794700\, 48.560691\, 37.383673\, 29.061664)"
ISR,Israel,"BBOX(34.267582\, 35.681109\, 33.270273\, 29.486709)"
JOR,Jordan,"BBOX(34.960418\, 39.301109\, 33.377591\, 29.188891)"
KAZ,Kazakhstan,"BBOX(46.499163\, 87.348209\, 55.442627\, 40.594436)"
NOR,Norway,"BBOX(4.789582\, 31.073536\, 71.154709\, 57.987918)"
RUS,Russia,"BBOX(-180.000000\, 180.000000\, 81.851927\, 41.196582)"
SWE,Sweden,"BBOX(11.113336\, 24.167009\, 69.060300\, 55.339164)"
ISR,West Bank,"BBOX(34.888191\, 35.570609\, 32.546391\, 31.350691)"
DZA,Algeria,"BBOX(-8.667218\, 11.986473\, 37.089854\, 18.976391)"
AND,Andorra,"BBOX(1.421391\, 1.781718\, 42.655964\, 42.436382)"
CMR,Cameroon,"BBOX(8.502363\, 16.207000\, 13.085000\, 1.654164)"
CAF,Central African Republic,"BBOX(14.418891\, 27.459718\, 11.000836\, 2.221264)"
LBY,Libya,"BBOX(9.311391\, 25.151663\, 33.171136\, 19.499064)"
MCO,Monaco,"BBOX(7.390900\, 7.439291\, 43.768300\, 43.727545)"
TUN,Tunisia,"BBOX(7.492218\, 11.581663\, 37.340409\, 30.234391)"
BEN,Benin,"BBOX(0.776663\, 3.855000\, 12.396654\, 6.218718)"
TCD,Chad,"BBOX(13.461945\, 24.002745\, 23.450554\, 7.458536)"
GNQ,Equatorial Guinea,"BBOX(8.424163\, 11.353891\, 3.763336\, 0.930154)"
KIR,Kiribati,"BBOX(-157.581700\, 172.947509\, 2.033054\, 1.335991)"
NER,Niger,"BBOX(0.166663\, 15.996663\, 23.522309\, 11.693273)"
NGA,Nigeria,"BBOX(2.692500\, 14.649654\, 13.891500\, 4.272845)"
STP,Sao Tome & Principe,"BBOX(6.465136\, 7.463473\, 1.701245\, 0.018336)"
TGO,Togo,"BBOX(-0.149764\, 1.797800\, 11.138536\, 6.100545)"
ALB,Albania,"BBOX(19.288536\, 21.053327\, 42.660345\, 39.645000)"
BIH,Bosnia & Herzegovina,"BBOX(15.740591\, 19.619782\, 45.265945\, 42.565827)"
HRV,Croatia,"BBOX(13.504791\, 19.425000\, 46.535827\, 42.399991)"
ITA,Italy,"BBOX(6.623963\, 18.514445\, 47.094582\, 36.649164)"
MKD,Macedonia,"BBOX(20.458818\, 23.030973\, 42.358954\, 40.855891)"
MLT,Malta,"BBOX(14.329100\, 14.570000\, 35.991936\, 35.800000)"
SMR,San Marino,"BBOX(12.406945\, 12.511109\, 43.986873\, 43.898682)"
SMN,Serbia & Montenegro,"BBOX(18.453327\, 23.005000\, 46.181109\, 41.849000)"
VTC,Vatican City,"BBOX(12.444473\, 12.457718\, 41.908391\, 41.900891)"
BGR,Bulgaria,"BBOX(22.365273\, 28.605136\, 44.224718\, 41.243045)"
CYP,Cyprus,"BBOX(32.269863\, 34.586036\, 35.688609\, 34.640273)"
EGY,Egypt,"BBOX(24.706800\, 36.895827\, 31.646945\, 21.994164)"
GEO,Georgia,"BBOX(40.002963\, 46.710818\, 43.584718\, 41.048045)"
GRC,Greece,"BBOX(19.640000\, 28.238045\, 41.747773\, 34.930545)"
LBN,Lebanon,"BBOX(35.100827\, 36.623745\, 34.647500\, 33.062082)"
SYR,Syria,"BBOX(35.614463\, 42.378327\, 37.290545\, 32.313609)"
TUR,Turkey,"BBOX(25.665827\, 44.820545\, 42.109991\, 35.818445)"
AUT,Austria,"BBOX(9.533573\, 17.166382\, 49.018745\, 46.407491)"
CZE,Czech Republic,"BBOX(12.093700\, 18.852218\, 51.052491\, 48.581382)"
DNK,Denmark,"BBOX(8.092918\, 15.149163\, 57.745973\, 54.561936)"
HUN,Hungary,"BBOX(16.111800\, 22.894800\, 48.576173\, 45.748327)"
POL,Poland,"BBOX(14.147636\, 24.143473\, 54.836036\, 49.002918)"
SVK,Slovakia,"BBOX(16.844718\, 22.558054\, 49.600827\, 47.737500)"
SVN,Slovenia,"BBOX(13.383473\, 16.607873\, 46.876245\, 45.425818)"
SJM,Svalbard,"BBOX(10.487918\, 33.637500\, 80.764163\, 74.343045)"
BEL,Belgium,"BBOX(2.541663\, 6.398200\, 51.501245\, 49.508882)"
FRA,France,"BBOX(-4.790282\, 9.562218\, 51.091109\, 41.364927)"
DEU,Germany,"BBOX(5.865000\, 15.033818\, 55.056527\, 47.274718)"
LIE,Liechtenstein,"BBOX(9.474636\, 9.633891\, 47.274545\, 47.057454)"
LUX,Luxembourg,"BBOX(5.734445\, 6.524027\, 50.181809\, 49.448464)"
NLD,Netherlands,"BBOX(3.370863\, 7.210973\, 53.465827\, 50.753882)"
CHE,Switzerland,"BBOX(5.967009\, 10.488209\, 47.806664\, 45.829436)"
USA,United States,"BBOX(-178.216555\, 179.775936\, 71.351436\, 18.925482)"
BLR,Belarus,"BBOX(23.165400\, 32.740054\, 56.167491\, 51.251845)"
EST,Estonia,"BBOX(21.837354\, 28.194091\, 59.664718\, 57.522636)"
FIN,Finland,"BBOX(19.511391\, 31.581963\, 70.088609\, 59.806800)"
LVA,Latvia,"BBOX(20.968609\, 28.235963\, 58.083254\, 55.674836)"
LTU,Lithuania,"BBOX(20.942836\, 26.813054\, 56.449854\, 53.890336)"
MDA,Moldova,"BBOX(26.634991\, 30.128709\, 48.468318\, 45.448645)"
ROM,Romania,"BBOX(20.261027\, 29.672218\, 48.263882\, 43.623309)"
UKR,Ukraine,"BBOX(22.151445\, 40.178745\, 52.378600\, 44.379154)"
IND,India,"BBOX(68.144227\, 97.380536\, 35.505618\, 6.745827)"
MDV,Maldives,"BBOX(72.863391\, 73.637272\, 7.027773\, -0.641664)"
OMN,Oman,"BBOX(51.999291\, 59.847082\, 26.368709\, 16.642782)"
SOM,Somalia,"BBOX(40.988609\, 51.411318\, 11.979164\, -1.674873)"
LKA,Sri Lanka,"BBOX(79.696091\, 81.891663\, 9.828191\, 5.918054)"
TKM,Turkmenistan,"BBOX(51.250182\, 66.670882\, 42.796173\, 35.145991)"
UZB,Uzbekistan,"BBOX(55.997491\, 73.167545\, 45.570591\, 37.184991)"
YEM,Yemen,"BBOX(42.555973\, 54.473473\, 18.999345\, 12.144718)"
ARM,Armenia,"BBOX(43.454163\, 46.620536\, 41.297054\, 38.841145)"
AZE,Azerbaijan,"BBOX(44.778863\, 51.677009\, 42.710754\, 38.262809)"
BHR,Bahrain,"BBOX(50.453327\, 50.796391\, 26.288891\, 25.571945)"
IRN,Iran,"BBOX(44.034954\, 63.330273\, 39.779154\, 25.075973)"
KWT,Kuwait,"BBOX(46.546945\, 48.416591\, 30.084164\, 28.538882)"
QAT,Qatar,"BBOX(50.751936\, 51.615827\, 26.152500\, 24.556045)"
SAU,Saudi Arabia,"BBOX(34.572145\, 55.666109\, 32.154945\, 16.377500)"
ARE,United Arab Emirates,"BBOX(51.583327\, 56.381663\, 26.083882\, 22.633327)"
AFG,Afghanistan,"BBOX(60.504163\, 74.915736\, 38.471982\, 29.406109)"
KGZ,Kyrgyzstan,"BBOX(69.249500\, 80.281582\, 43.216900\, 39.195473)"
NPL,Nepal,"BBOX(80.052200\, 88.194554\, 30.424718\, 26.368364)"
PAK,Pakistan,"BBOX(60.866300\, 77.823927\, 37.060791\, 23.688045)"
TJK,Tajikistan,"BBOX(67.364700\, 75.187482\, 41.049254\, 36.671845)"
BGD,Bangladesh,"BBOX(88.043872\, 92.669345\, 26.626136\, 20.744818)"
BTN,Bhutan,"BBOX(88.751936\, 92.114218\, 28.325000\, 26.703609)"
BRN,Brunei,"BBOX(114.095082\, 115.360263\, 5.053054\, 4.018191)"
CHN,China,"BBOX(73.620045\, 134.768463\, 53.553745\, 18.168882)"
JPN,Japan,"BBOX(123.678863\, 145.812409\, 45.486382\, 24.251391)"
PRK,North Korea,"BBOX(124.323954\, 130.697418\, 43.006100\, 37.671382)"
PLW,Palau,"BBOX(134.452482\, 134.658872\, 7.729445\, 7.305254)"
PHL,Philippines,"BBOX(116.950000\, 126.598036\, 19.391109\, 5.049164)"
KOR,South Korea,"BBOX(126.099018\, 129.586872\, 38.625245\, 33.192209)"
KHM,Cambodia,"BBOX(102.346509\, 107.636382\, 14.708618\, 10.422736)"
LAO,Laos,"BBOX(100.091372\, 107.695254\, 22.499927\, 13.926664)"
MYS,Malaysia,"BBOX(99.641936\, 119.275818\, 7.352918\, 0.852782)"
MMR,Myanmar,"BBOX(92.204991\, 101.169427\, 28.546527\, 9.839582)"
SGP,Singapore,"BBOX(103.640945\, 103.997945\, 1.445282\, 1.259027)"
THA,Thailand,"BBOX(97.347272\, 105.639291\, 20.454582\, 5.633473)"
VNM,Vietnam,"BBOX(102.140745\, 109.464845\, 23.324164\, 8.559236)"
GUM,Guam,"BBOX(144.634154\, 144.953309\, 13.652291\, 13.235000)"
MHL,Marshall Is.,"BBOX(162.324963\, 171.378063\, 14.594027\, 5.600273)"
FSM,Micronesia,"BBOX(158.120100\, 163.042891\, 6.977636\, 5.261664)"
MNP,Northern Mariana Is.,"BBOX(145.572682\, 145.818082\, 15.268191\, 14.908054)"
UMI,Wake I.,"BBOX(166.608981\, 166.662200\, 19.324582\, 19.279445)"
BWA,Botswana,"BBOX(19.996109\, 29.373618\, -17.782082\, -26.875555)"
BDI,Burundi,"BBOX(28.985000\, 30.853191\, -2.301564\, -4.448055)"
ATF,French Southern & Antarctic Lands,"BBOX(51.650836\, 70.567491\, -46.327645\, -49.725009)"
HMD,Heard I. & McDonald Is.,"BBOX(73.234709\, 73.773882\, -52.965145\, -53.199445)"
KEN,Kenya,"BBOX(33.907218\, 41.905163\, 4.622500\, -4.669618)"
RWA,Rwanda,"BBOX(28.854445\, 30.893263\, -1.054446\, -2.825491)"
TZA,Tanzania,"BBOX(29.340827\, 40.436809\, -0.997218\, -11.740418)"
ZMB,Zambia,"BBOX(21.996391\, 33.702282\, -8.191664\, -18.074918)"
ZWE,Zimbabwe,"BBOX(25.237918\, 33.071591\, -15.616527\, -22.414764)"
ATA,Antarctica,"BBOX(-180.000000\, 180.000000\, -60.503336\, -90.000000)"
NOR,Bouvet I.,"BBOX(3.342363\, 3.484163\, -54.383609\, -54.462782)"
COM,Comoros,"BBOX(43.214027\, 44.530418\, -11.366946\, -12.383055)"
REU,Juan De Nova I.,"BBOX(42.723818\, 42.760900\, -17.052018\, -17.076118)"
LSO,Lesotho,"BBOX(27.013973\, 29.455554\, -28.570691\, -30.650527)"
MWI,Malawi,"BBOX(32.681873\, 35.920963\, -9.376673\, -17.135282)"
MOZ,Mozambique,"BBOX(30.213018\, 40.846109\, -10.471109\, -26.860282)"
ZAF,South Africa,"BBOX(16.483327\, 37.892218\, -22.136391\, -46.969727)"
SWZ,Swaziland,"BBOX(30.798336\, 32.133400\, -25.728336\, -27.316391)"
AGO,Angola,"BBOX(11.731245\, 24.084445\, -4.388991\, -18.016391)"
COG,Congo,"BBOX(11.140663\, 18.643609\, 3.711109\, -5.015000)"
ZAR,Congo\, DRC,"BBOX(12.214554\, 31.302773\, 5.380691\, -13.458055)"
FJI,Fiji,"BBOX(-180.000000\, 180.000000\, -16.153473\, -19.162782)"
GAB,Gabon,"BBOX(8.700836\, 14.519582\, 2.317900\, -3.925282)"
NAM,Namibia,"BBOX(11.716391\, 25.264427\, -16.954173\, -28.961873)"
NZL,New Zealand,"BBOX(-176.848755\, 178.841063\, -34.414718\, -52.578055)"
IOT,British Indian Ocean Territory,"BBOX(72.357900\, 72.494282\, -7.233473\, -7.436246)"
REU,Glorioso Is.,"BBOX(47.279091\, 47.303054\, -11.554100\, -11.577782)"
MDG,Madagascar,"BBOX(43.236827\, 50.501391\, -11.945555\, -25.588336)"
MUS,Mauritius,"BBOX(57.306309\, 63.495754\, -19.673336\, -20.520555)"
MYT,Mayotte,"BBOX(45.039163\, 45.293345\, -12.662500\, -12.992500)"
REU,Reunion,"BBOX(55.220554\, 55.853054\, -20.856527\, -21.373891)"
SYC,Seychelles,"BBOX(46.205691\, 55.540554\, -4.551664\, -9.463055)"
CXR,Christmas I.,"BBOX(105.629000\, 105.751900\, -10.384082\, -10.510973)"
CCK,Cocos Is.,"BBOX(96.817491\, 96.864845\, -12.130418\, -12.199446)"
IDN,Indonesia,"BBOX(95.210945\, 141.007018\, 5.913473\, -10.929655)"
TLS,Timor Leste,"BBOX(124.046100\, 127.308591\, -8.140000\, -9.463627)"
AUS,Australia,"BBOX(112.907209\, 158.960372\, -10.135691\, -54.753891)"
NRU,Nauru,"BBOX(166.904418\, 166.957045\, -0.493336\, -0.552218)"
NCL,New Caledonia,"BBOX(163.982745\, 168.130509\, -20.087918\, -22.673891)"
NFK,Norfolk I.,"BBOX(167.910945\, 167.998872\, -29.000555\, -29.081109)"
PNG,Papua New Guinea,"BBOX(140.858854\, 155.966845\, -1.355282\, -11.642500)"
SLB,Solomon Is.,"BBOX(155.671300\, 166.931836\, -6.605518\, -11.845836)"
TUV,Tuvalu,"BBOX(176.295254\, 179.232281\, -6.089446\, -8.561291)"
VUT,Vanuatu,"BBOX(166.521636\, 169.893863\, -13.707218\, -20.254173)"
