abbrev:keyword,airport:text,region:text,city:keyword,city_location:geo_point,city_boundary:geo_shape
AGU,Lic. Jesús Terán Peredo Int'l,Municipio de Aguascalientes,Aguascalientes,POINT(-102.296 21.876),"POLYGON((-102.5831 21.7471\,-102.3257 21.6223\,-102.1421 21.7054\,-102.1037 22.0574\,-102.5831 21.7471))"
AKL,Auckland Int'l,Auckland,Auckland,POINT(174.74 -36.8406),"POLYGON((173.8963 -36.5586\,174.4262 -37.3645\,175.3886 -37.0219\,175.1631 -36.5239\,175.9032 -36.2582\,175.5468 -35.8585\,174.9114 -35.7133\,174.8043 -35.99\,173.8963 -36.5586))"
ALA,Almaty Int'l,Жетісу ауданы,Almaty,POINT(76.8958 43.2775),"POLYGON((76.8857 43.2638\,76.9667 43.2722\,76.9735 43.2931\,76.9301 43.3017\,76.9327 43.3456\,76.9636 43.3798\,76.9292 43.3798\,76.9089 43.352\,76.9203 43.3432\,76.8857 43.2638))"
ALB,Albany Int'l,Town of Colonie,Colonie,POINT(-73.7874 42.7396),"POLYGON((-73.9335 42.7606\,-73.8125 42.6903\,-73.7232 42.6728\,-73.7024 42.7006\,-73.719 42.7367\,-73.6942 42.7323\,-73.6842 42.7576\,-73.7317 42.7654\,-73.7302 42.7874\,-73.7107 42.7944\,-73.7269 42.8225\,-73.7671 42.786\,-73.9335 42.7606))"
ALC,Alicante,Alacant / Alicante,Alicante,POINT(-0.4831 38.3453),"POLYGON((-0.6567 38.3823\,-0.6405 38.3448\,-0.5685 38.3018\,-0.5416 38.3058\,-0.5247 38.275\,-0.5085 38.3302\,-0.4944 38.319\,-0.4952 38.334\,-0.4449 38.3629\,-0.4027 38.3528\,-0.4081 38.3833\,-0.4669 38.3961\,-0.4696 38.4113\,-0.4929 38.4004\,-0.4975 38.3801\,-0.5515 38.398\,-0.5483 38.4323\,-0.5951 38.4741\,-0.6148 38.4763\,-0.5914 38.4562\,-0.6106 38.4283\,-0.578 38.3984\,-0.6247 38.3996\,-0.6567 38.3823))"
ALG,Houari Boumediene,Alger,Algiers,POINT(3.0589 36.7539),"POLYGON((2.7997 36.6504\,3.1114 36.5816\,3.3801 36.7652\,2.8946 36.805\,2.7997 36.6504))"
ALL,Albenga,Albenga,Albenga,POINT(8.2167 44.05),"POLYGON((8.0994 44.0716\,8.1547 44.0568\,8.1676 44.0317\,8.2271 44.0454\,8.226 44.0723\,8.19 44.1011\,8.1615 44.0986\,8.1688 44.0691\,8.0994 44.0716))"
ALP,Aleppo Int'l,ناحية جبل سمعان,Aleppo,POINT(37.16 36.2),"POLYGON((36.9952 36.1374\,37.0034 36.1119\,37.0801 36.0757\,37.0802 36.0337\,37.1407 36.0087\,37.1521 36.0409\,37.2117 36.0351\,37.2654 36.1475\,37.3009 36.1675\,37.2259 36.2218\,37.241 36.2583\,37.2833 36.2842\,37.2881 36.3323\,37.2298 36.3321\,37.2051 36.36\,37.1331 36.3396\,37.1027 36.2886\,37.1018 36.2475\,37.0207 36.2397\,36.9952 36.1374))"
AMA,Amarillo Int'l,Amarillo,Amarillo,POINT(-101.8316 35.1984),"POLYGON((-101.9562 35.1617\,-101.9561 35.1245\,-101.922 35.1319\,-101.9378 35.1022\,-101.9106 35.1148\,-101.8837 35.102\,-101.866 35.1202\,-101.8796 35.1397\,-101.8308 35.1494\,-101.827 35.1766\,-101.822 35.1494\,-101.7953 35.1495\,-101.7954 35.1676\,-101.7601 35.1858\,-101.6895 35.1859\,-101.6892 35.2074\,-101.6539 35.2221\,-101.6538 35.2509\,-101.7068 35.2347\,-101.7067 35.2462\,-101.7426 35.2362\,-101.8111 35.251\,-101.8133 35.2944\,-101.84 35.2945\,-101.84 35.2669\,-101.8665 35.2659\,-101.8841 35.2384\,-101.9208 35.265\,-101.9105 35.2212\,-101.9371 35.2061\,-101.9404 35.1618\,-101.9562 35.1617))"
AMD,Sardar Vallabhbhai Patel Int'l,Ahmedabad District,Ahmedabad,POINT(72.58 23.03),"POLYGON((71.84 22.3257\,72.2636 21.9832\,72.5221 22.7958\,72.8155 23.0377\,72.1595 23.1057\,72.2893 23.3988\,71.9984 23.4989\,71.87 23.2185\,71.9957 23.2485\,71.8996 23.1026\,72.1894 22.5424\,72.0839 22.4357\,71.9415 22.5486\,71.84 22.3257))"
AMM,Queen Alia Int'l,لواء قصبة عمان,Amman,POINT(35.9328 31.9497),"POLYGON((35.8695 31.9418\,35.8748 31.9331\,35.9073 31.9155\,35.9389 31.9031\,35.95 31.9425\,35.9258 31.9673\,35.916 31.9928\,35.9006 31.987\,35.8891 31.9768\,35.8855 31.966\,35.8741 31.973\,35.8698 31.9741\,35.8695 31.9418))"
AMS,Schiphol,Haarlemmermeer,Hoofddorp,POINT(4.6907 52.3061),"POLYGON((4.5505 52.2266\,4.6181 52.2145\,4.665 52.2276\,4.7805 52.2835\,4.819 52.3251\,4.7553 52.3565\,4.7578 52.3967\,4.7288 52.4007\,4.7392 52.4311\,4.7005 52.4255\,4.6688 52.4042\,4.6869 52.3874\,4.6756 52.3529\,4.6166 52.3315\,4.5505 52.2266))"
ANF,Cerro Moreno Int'l,Antofagasta,Antofagasta,POINT(-70.4 -23.65),"POLYGON((-70.6286 -23.5148\,-70.3925 -23.5798\,-70.5802 -24.5516\,-69.1737 -24.6884\,-69.247 -25.1752\,-69.0394 -25.3816\,-68.7234 -25.3896\,-68.3433 -25.1106\,-68.5619 -24.7627\,-68.067 -24.3282\,-68.3456 -23.9991\,-69.1418 -23.666\,-70.0475 -23.6233\,-70.0136 -23.0584\,-70.1867 -23.3504\,-70.6066 -23.3592\,-70.6286 -23.5148))"
ANR,Deurne,Antwerpen,Antwerp,POINT(4.4003 51.2178),"POLYGON((4.3008 51.2624\,4.3523 51.24\,4.3381 51.2298\,4.3569 51.2019\,4.3432 51.1938\,4.4185 51.1755\,4.4106 51.198\,4.4443 51.2052\,4.4272 51.2101\,4.4437 51.2254\,4.425 51.2414\,4.4286 51.264\,4.3859 51.2765\,4.4088 51.2879\,4.3975 51.2971\,4.356 51.3135\,4.3159 51.3027\,4.3195 51.2823\,4.3008 51.2624))"
ANU,V.C. Bird Int'l,Saint John,Saint John’s,POINT(-61.85 17.1167),"POLYGON((-61.9054 17.1006\,-61.8328 17.0907\,-61.8429 17.0558\,-61.7876 17.0612\,-61.7876 17.0829\,-61.8084 17.0919\,-61.8011 17.17\,-61.8453 17.1674\,-61.8643 17.1316\,-61.8519 17.1303\,-61.8449 17.1173\,-61.8862 17.1304\,-61.9054 17.1006))"
APW,Faleolo,Tuamasaga,Apia,POINT(-171.75 -13.8333),"POLYGON((-171.9189 -13.8067\,-171.9008 -13.8523\,-171.9082 -13.9276\,-171.8818 -13.9322\,-171.9084 -13.95\,-171.9116 -14.0047\,-171.8332 -13.9853\,-171.8128 -14.006\,-171.84 -13.9919\,-171.8282 -14.0079\,-171.7811 -14.0119\,-171.7678 -14.042\,-171.7481 -14.0447\,-171.7404 -13.9368\,-171.6954 -13.948\,-171.6958 -13.862\,-171.7795 -13.8148\,-171.7778 -13.8292\,-171.7926 -13.8268\,-171.8304 -13.793\,-171.8685 -13.7985\,-171.8623 -13.8474\,-171.8704 -13.8597\,-171.8762 -13.7967\,-171.9189 -13.8067))"
AQP,Rodríguez Ballón Int'l,Arequipa,Arequipa,POINT(-71.5333 -16.4),"POLYGON((-72.2835 -16.6357\,-71.9967 -16.7996\,-71.91 -16.675\,-71.8695 -16.786\,-71.3261 -16.7522\,-71.2421 -16.4631\,-70.9554 -16.4716\,-70.8433 -15.9233\,-71.7043 -15.9337\,-72.0913 -16.1893\,-72.2835 -16.6357))"
ARH,Arkhangelsk-Talagi,Октябрьский округ,Arkhangelsk,POINT(40.5333 64.55),"POLYGON((40.3759 64.5367\,40.4862 64.5303\,40.6733 64.5746\,40.582 64.5757\,40.626 64.6001\,40.7116 64.583\,40.8365 64.5968\,40.7034 64.6142\,40.6698 64.5972\,40.6069 64.6029\,40.4975 64.5528\,40.3759 64.5367))"
ARN,Arlanda,Stockholms kommun,Stockholm,POINT(18.0686 59.3294),"POLYGON((17.7607 59.3918\,17.7963 59.3551\,17.9548 59.3107\,17.8665 59.2862\,17.8779 59.2681\,17.9479 59.2878\,17.9634 59.2685\,18.108 59.2273\,18.1337 59.2424\,18.1937 59.2298\,18.2001 59.2475\,18.1497 59.2658\,18.1054 59.3137\,18.1603 59.3208\,18.1605 59.3346\,18.0617 59.3753\,18.0364 59.3714\,18.049 59.3568\,18.0248 59.3393\,17.9814 59.3451\,17.9277 59.3746\,17.976 59.3996\,17.9028 59.4401\,17.8884 59.4302\,17.8962 59.4118\,17.8399 59.3813\,17.8172 59.399\,17.7607 59.3918))"
ASB,Ashkhabad Northwest,Bagtyýarlyk etraby,Ashgabat,POINT(58.3833 37.95),"POLYGON((58.1234 38.0831\,58.3392 37.9796\,58.3197 37.9586\,58.3394 37.952\,58.3167 37.9077\,58.3716 37.9266\,58.3674 37.9493\,58.3848 37.9438\,58.4514 38.0249\,58.4111 38.0915\,58.3847 38.0826\,58.3569 38.1037\,58.2708 38.1019\,58.239 38.0735\,58.1789 38.1025\,58.1331 38.1038\,58.1234 38.0831))"
ASM,Yohannes Iv Int'l,ዞባ ማእከል Maekel zone المنطقة المركزية,Asmara,POINT(38.925 15.3228),"POLYGON((38.6813 15.2589\,38.6961 15.2164\,38.744 15.211\,38.9288 15.1307\,38.9539 15.13\,38.9955 15.1727\,39.0371 15.2385\,39.0363 15.2993\,39.007 15.3709\,38.9813 15.3891\,38.9811 15.4699\,38.9167 15.5089\,38.9095 15.5757\,38.8934 15.5941\,38.8442 15.5898\,38.8395 15.5693\,38.7469 15.5306\,38.7623 15.4617\,38.7415 15.4115\,38.7402 15.3183\,38.6813 15.2589))"
ASP,Alice Springs,Town of Alice Springs,Alice Springs,POINT(133.8667 -23.7),"POLYGON((133.726 -23.7761\,133.7572 -23.7829\,133.7563 -23.8134\,133.8458 -23.8134\,133.872 -23.7923\,133.8842 -23.8315\,133.9404 -23.8315\,133.9404 -23.781\,133.9207 -23.781\,133.9202 -23.7642\,133.9404 -23.7557\,133.9404 -23.6648\,133.9195 -23.6648\,133.9195 -23.6305\,133.8108 -23.6305\,133.8117 -23.7246\,133.726 -23.7476\,133.726 -23.7761))"
ASU,Silvio Pettirossi Int'l,Luque,Luque,POINT(-57.4872 -25.27),"POLYGON((-57.5013 -25.2042\,-57.5419 -25.2917\,-57.4731 -25.3246\,-57.4448 -25.3101\,-57.4474 -25.2876\,-57.4253 -25.2587\,-57.3929 -25.2572\,-57.3497 -25.2267\,-57.4006 -25.18\,-57.4651 -25.2191\,-57.5013 -25.2042))"
ASW,Aswan Int'l,أسوان,Aswān,POINT(32.8997 24.0889),"POLYGON((31.0981 22\,31.315 22\,31.365 22.1316\,31.4698 22.2249\,31.5062 22.1852\,31.4339 22.0856\,31.3989 22\,33.4131 22\,33.4691 25.3362\,32.6851 25.3369\,32.6473 25.2101\,32.6968 25.177\,32.6724 25.1101\,31.0981 22))"
ATH,Eleftherios Venizelos Int'l,Περιφερειακή Ενότητα Πειραιώς,Piraeus,POINT(23.6469 37.943),"POLYGON((23.5448 37.9731\,23.5808 37.9493\,23.5651 37.9296\,23.6056 37.8627\,23.6911 37.9624\,23.6439 38.0033\,23.5516 37.9921\,23.5448 37.9731))"
ATL,Hartsfield-Jackson Atlanta Int'l,Atlanta,Atlanta,POINT(-84.422 33.7628),"POLYGON((-84.5511 33.7208\,-84.5368 33.7268\,-84.5457 33.6808\,-84.5261 33.6731\,-84.5259 33.6567\,-84.5062 33.6542\,-84.4865 33.69\,-84.4429 33.7057\,-84.4154 33.6972\,-84.4183 33.6731\,-84.3975 33.6729\,-84.3998 33.6483\,-84.3502 33.6479\,-84.3486 33.7325\,-84.3293 33.7184\,-84.3286 33.7474\,-84.2896 33.7447\,-84.3474 33.7802\,-84.3481 33.8821\,-84.4026 33.8868\,-84.4498 33.8725\,-84.4558 33.8258\,-84.4951 33.8085\,-84.5153 33.7901\,-84.5154 33.7627\,-84.535 33.758\,-84.5357 33.7388\,-84.5148 33.7275\,-84.5058 33.7394\,-84.5011 33.7155\,-84.5357 33.7347\,-84.5511 33.7208)\,(-84.3823 33.8772\,-84.3824 33.8774\,-84.3823 33.8774\,-84.3823 33.8772))"
ATZ,Asyut,أسيوط,Asyūţ,POINT(31.1667 27.1833),"POLYGON((30.4557 27.7298\,30.8523 26.7702\,31.3427 26.838\,31.3778 26.8605\,31.3788 26.8888\,31.4521 26.9349\,31.4782 26.9133\,31.5351 26.8023\,32.1606 26.9843\,32.2505 27.0474\,32.6153 27.3743\,32.673 27.3657\,32.7441 27.5014\,32.7536 27.5571\,32.6539 27.9028\,32.4193 27.9098\,32.1171 27.8496\,31.6351 27.6954\,30.9251 27.6475\,30.8956 27.6117\,30.647 27.6316\,30.6878 27.7303\,30.4557 27.7298))"
AUH,Abu Dhabi Int'l,أبو ظبي,Abu Dhabi,POINT(54.3667 24.4667),"POLYGON((54.2972 24.4607\,54.4643 24.3838\,54.5242 24.3859\,54.527 24.3127\,54.5529 24.2879\,54.6012 24.3089\,54.6478 24.281\,54.7659 24.4278\,54.7465 24.4301\,54.7467 24.4607\,54.6743 24.4641\,54.6339 24.4874\,54.6286 24.5121\,54.5047 24.5642\,54.4744 24.6019\,54.4262 24.5473\,54.3542 24.5375\,54.2972 24.4607))"
AWZ,Ahwaz,شهر اهواز,Ahvāz,POINT(48.6692 31.3203),"POLYGON((48.5622 31.2809\,48.5835 31.2653\,48.6332 31.2682\,48.6327 31.2379\,48.6589 31.2699\,48.7292 31.256\,48.7949 31.1084\,48.8053 31.142\,48.7849 31.2636\,48.8022 31.3505\,48.7398 31.3746\,48.6176 31.3768\,48.6143 31.3109\,48.5622 31.2809))"
AYT,Antalya,Antalya,Antalya,POINT(30.7075 36.8874),"POLYGON((29.1917 36.235\,29.6147 36.1682\,29.7286 35.923\,30.1988 36.059\,30.4983 35.98\,30.7643 36.262\,30.8322 36.647\,30.9817 36.657\,31.9207 36.335\,32.3951 35.924\,32.6053 36.1599\,32.6263 36.5108\,31.7817 37.3957\,31.3951 37.2681\,31.2006 37.4277\,30.4349 37.2065\,30.2244 37.3923\,29.8271 37.129\,29.6845 36.6387\,29.1917 36.235))"
BAH,Bahrain Int'l,محافظة العاصمة,Manama,POINT(50.5775 26.225),"POLYGON((50.3957 26.5344\,50.5134 26.3035\,50.5152 26.245\,50.502 26.2475\,50.503 26.2397\,50.5336 26.2156\,50.5366 26.1866\,50.6112 26.1242\,50.6207 26.153\,50.6512 26.1616\,50.635 26.2135\,50.5464 26.3143\,50.4387 26.5575\,50.3957 26.5344))"
BAIK,Baikonur Cosmodrome,Байқоңыр Қ.Ә.,Baikonur,POINT(63.3167 45.6167),"POLYGON((63.1815 45.6086\,63.2233 45.6136\,63.2767 45.5956\,63.3227 45.6081\,63.3365 45.6359\,63.3222 45.644\,63.3226 45.6465\,63.3299 45.6518\,63.3304 45.6541\,63.2869 45.6481\,63.2467 45.6261\,63.1908 45.6266\,63.1815 45.6086))"
BAQ,Ernesto Cortissoz Int'l,Perímetro Urbano Barranquilla,Barranquilla,POINT(-74.8019 10.9833),"POLYGON((-74.8509 10.9761\,-74.8293 10.9218\,-74.7588 10.9451\,-74.7655 10.9913\,-74.828 11.0453\,-74.8362 10.9826\,-74.8509 10.9761))"
BAX,Barnaul,Железнодорожный район,Barnaul,POINT(83.75 53.3333),"POLYGON((83.7097 53.3497\,83.7244 53.3249\,83.7793 53.3457\,83.75 53.3803\,83.7097 53.3497))"
BBI,Biju Patnaik,South East Zone,Bhubaneshwar,POINT(85.84 20.27),"POLYGON((85.8073 20.2165\,85.8327 20.2249\,85.8408 20.2122\,85.8794 20.2784\,85.8248 20.2953\,85.8319 20.2553\,85.8073 20.2165))"
BBU,Aeroportul National Bucuresti-Baneasa,Sector 3,Bucharest,POINT(26.1039 44.4325),"POLYGON((26.0956 44.4316\,26.1242 44.4082\,26.1822 44.3938\,26.2121 44.3951\,26.2256 44.4324\,26.1975 44.4426\,26.0956 44.4316))"
BCN,Barcelona,el Prat de Llobregat,El Prat de Llobregat,POINT(2.0953 41.3246),"POLYGON((2.0573 41.3025\,2.0748 41.2766\,2.1516 41.2954\,2.1549 41.2974\,2.1666 41.3088\,2.1676 41.3113\,2.145 41.2977\,2.1563 41.3206\,2.1188 41.3228\,2.0767 41.3483\,2.0573 41.3025))"
BDL,Bradley Int'l,Windsor Locks,Windsor Locks,POINT(-72.6544 41.9267),"POLYGON((-72.6968 41.9225\,-72.6889 41.9188\,-72.6754 41.9165\,-72.6627 41.9082\,-72.6458 41.9022\,-72.6396 41.8983\,-72.6353 41.9035\,-72.6217 41.9047\,-72.624 41.9329\,-72.6226 41.9361\,-72.614 41.9435\,-72.6876 41.9482\,-72.6968 41.9225))"
BDO,Husein Sastranegara Int'l,Kota Cimahi,Cimahi,POINT(107.5548 -6.8712),"POLYGON((107.5103 -6.8982\,107.519 -6.9189\,107.5642 -6.9328\,107.5564 -6.8896\,107.5761 -6.8908\,107.5518 -6.8294\,107.5103 -6.8982))"
BDQ,Vadodara,Vadodara Rural Taluka,Vadodara,POINT(73.2 22.3),"POLYGON((73.0467 22.3608\,73.0825 22.2666\,73.1594 22.2152\,73.1521 22.183\,73.1037 22.1446\,73.0984 22.1135\,73.1582 22.0905\,73.1904 22.122\,73.2665 22.1105\,73.2627 22.1251\,73.2918 22.1545\,73.2636 22.2143\,73.3004 22.2214\,73.2901 22.2368\,73.3093 22.2469\,73.3024 22.2753\,73.2808 22.2764\,73.2739 22.3113\,73.256 22.3136\,73.2736 22.3356\,73.2554 22.3385\,73.2864 22.3516\,73.2638 22.3549\,73.2508 22.4106\,73.2171 22.4064\,73.2201 22.4324\,73.1713 22.4299\,73.1671 22.4586\,73.1298 22.4474\,73.1261 22.4644\,73.0937 22.4656\,73.0654 22.4291\,73.073 22.3971\,73.0467 22.3608))"
BEG,Surcin,Сурчин,Surčin,POINT(20.2833 44.8),"POLYGON((20.222 44.7864\,20.2602 44.7837\,20.3154 44.7382\,20.351 44.7688\,20.3257 44.8343\,20.2767 44.8336\,20.222 44.7864))"
BEL,Val de Caes Int'l,Ananindeua,Ananindeua,POINT(-48.3719 -1.3658),"POLYGON((-48.4401 -1.3441\,-48.4214 -1.3693\,-48.4354 -1.3846\,-48.4299 -1.4043\,-48.3944 -1.3911\,-48.3906 -1.4087\,-48.3739 -1.403\,-48.3714 -1.4236\,-48.4 -1.4648\,-48.3474 -1.4549\,-48.3324 -1.4214\,-48.3636 -1.4068\,-48.3674 -1.3697\,-48.3496 -1.3654\,-48.3386 -1.335\,-48.3529 -1.3118\,-48.3387 -1.2678\,-48.3536 -1.2631\,-48.3338 -1.2434\,-48.353 -1.221\,-48.3744 -1.2434\,-48.4076 -1.2279\,-48.4276 -1.2572\,-48.4222 -1.313\,-48.4401 -1.3441))"
BEN,Benina Int'l,بنغازي,Benghazi,POINT(20.0667 32.1167),"POLYGON((18.6509 32.7005\,19.3801 31.4111\,20.299 31.2317\,20.4175 31.0884\,20.5235 31.0255\,20.5938 31.007\,20.9341 31.0462\,21.3191 31.0351\,21.2888 31.2763\,21.2424 31.3558\,21.2154 31.5411\,21.0537 31.6735\,20.8087 31.9646\,20.7972 32.1202\,20.7713 32.1894\,20.6387 32.4084\,20.4858 32.7336\,20.4222 32.7005\,18.6509 32.7005))"
BEY,Beirut Int'l,محافظة بيروت,Beirut,POINT(35.5131 33.8869),"POLYGON((35.4668 33.8932\,35.4807 33.8679\,35.5105 33.8629\,35.5425 33.9086\,35.4668 33.8932))"
BFS,Belfast Int'l,Northern Ireland / Tuaisceart Éireann,Belfast,POINT(-5.93 54.5964),"POLYGON((-8.1775 54.4648\,-7.5474 54.1221\,-7.2789 54.1226\,-6.9816 54.4095\,-6.6238 54.0365\,-6.2847 54.1122\,-5.826 53.8702\,-5.2678 54.174\,-5.0778 54.4645\,-5.5711 55.0228\,-6.1105 55.3667\,-6.5787 55.4436\,-7.3913 55.0223\,-7.5347 54.747\,-7.9209 54.696\,-7.6973 54.6101\,-8.1775 54.4648))"
BGA,Palonegro,Tona,Bucaramanga,POINT(-73.0 7.1333),"POLYGON((-73.066 7.1474\,-73.0494 7.1343\,-73.028 7.1451\,-73.0026 7.1019\,-72.9699 7.1097\,-72.9503 7.0863\,-72.9373 7.095\,-72.8852 7.0775\,-72.8749 7.0539\,-72.8222 7.0522\,-72.8188 7.09\,-72.8383 7.0986\,-72.8586 7.1548\,-72.8315 7.2075\,-72.8558 7.2175\,-72.8746 7.2635\,-72.9565 7.2357\,-72.989 7.2509\,-73.0293 7.1982\,-73.0568 7.186\,-73.066 7.1474))"
BGF,Bangui M'Poko Int'l,Ombella M'Poko,Bimbo,POINT(18.5163 4.3313),"POLYGON((16.7543 5.7837\,16.5359 5.2712\,16.9651 5.3363\,17.1305 5.1474\,17.0319 5.0234\,17.4648 4.794\,17.6008 4.525\,18.1317 4.4482\,18.5964 3.8734\,18.524 4.4184\,18.7627 4.4036\,19.1044 4.9392\,18.8605 5.626\,18.6266 5.742\,18.4049 5.5541\,18.3701 5.7403\,17.9093 5.8898\,17.5808 5.7006\,16.7543 5.7837))"
BGI,Grantley Adams Int'l,Fort-de-France,Fort-de-France,POINT(-61.0667 14.6),"POLYGON((-61.103 14.6884\,-61.0816 14.6333\,-61.0921 14.5984\,-61.0365 14.5945\,-61.0359 14.64\,-61.0849 14.6735\,-61.0737 14.7032\,-61.0903 14.7078\,-61.103 14.6884))"
